parkname,rum_mean_per_trip,std_dev_rum,ci_lo_2.5_rum,ci_hi_97.5_rum,rum_total_annual_loss,parkname_numeric,mdcev_mean_per_person,std.dev,ci_lo2.5%,ci_hi97.5%,rum_annual_total,mdcev_annual_total,difference,year
Ainapo Cabin,-3.6289839892929656,11.144090049282031,-4.128117001808763,-3.129850976777168,-6949.504339496029,1,-1.7383130606593205,0.25819801078255694,-2.1951370986077547,-1.3362387203119253,-6129.353957915819,-2343.246005768764,-3786.1079521470547,2022
Hipalau,-2.4877884974632325,3.095409109363221,-2.6264288769731636,-2.3491481179533014,-4764.11497264209,2,-1.8447122231708977,0.38673573766723707,-2.521401502858077,-1.2412774891849252,-4201.874772215399,-2486.6720768343703,-1715.2026953810291,2022
Kaluahaulu,-2.242386921868753,2.7873537243353805,-2.3672297986960342,-2.117544045041472,-4294.170955378662,3,-1.4740188101304148,0.25456185448737406,-1.9333980394134316,-1.0316934096144723,-3787.391511036324,-1986.9773560557992,-1800.414154980525,2022
Kamananui Trail,-0.6306612613809268,0.43001695795967215,-0.6499213049295806,-0.6114012178322731,-1207.7163155444748,4,-0.042322463038241824,0.01510487903223384,-0.07654695919790744,-0.0221878604292125,-1065.1868704723854,-57.05068017554998,-1008.1361902968355,2022
Kaunala Trail,-1.984667618102338,1.4466510455373487,-2.049461718941886,-1.9198735172627897,-3800.638488665977,5,-0.4514617215240073,0.10952559061467826,-0.638977448456769,-0.2587256128478307,-3352.103606974849,-608.5704006143619,-2743.533206360487,2022
Kawaikoi,-13.0697081615908,16.68644779179866,-13.81707801571762,-12.32233830746398,-25028.491129446382,6,-5.433623336217758,0.4468691201693772,-6.1640395721476695,-4.732872855553557,-22074.73708492686,-7324.524257221538,-14750.21282770532,2022
Keanakolu Ranger & Bunkhouse Cabins,-3.7488044684200714,10.323198180623628,-4.211170528269367,-3.286438408570776,-7178.960557024437,7,-1.259508220359294,0.23200721573421335,-1.7571040492639023,-0.9722633496487758,-6331.7307471615,-1697.8170810443282,-4633.913666117172,2022
Kuaokala Trail,-21.646831153076697,14.18938893249413,-22.282360156549746,-21.011302149603647,-41453.681658141875,8,-5.8319174713689295,0.539769054816222,-6.955668325573114,-5.016894354980598,-36561.497817546544,-7861.424751405317,-28700.073066141227,2022
Kulanaahane Trail,-0.7889336059805071,0.5380753927372287,-0.8130334822871291,-0.7648337296738851,-1510.807855452671,9,-0.07354113647630943,0.021569196909147405,-0.11580711608427503,-0.04420789134423989,-1332.5088605010765,-99.13345197006511,-1233.3754085310113,2022
Kuliouou Trail,-4.505970362079447,3.4411972837780667,-4.660098259405975,-4.351842464752918,-8628.93324338214,10,-0.5636209060842109,0.08821583406028233,-0.7518786418438794,-0.422808983848183,-7610.583941552186,-759.7609814015162,-6850.82296015067,2022
Lonomea,-9.250535602127783,11.58811270257928,-9.769555959737296,-8.73151524451827,-17714.775678074704,11,-5.294849685623784,0.5932185810374541,-6.215636292084217,-4.262558871930385,-15624.154631993826,-7137.45737622086,-8486.697255772966,2022
Maakua Ridge Trail,-1.6645445329296646,1.2285310961904623,-1.719569252247182,-1.6095198136121474,-3187.602780560308,12,-0.3357399874538425,0.06552890443869064,-0.46732631957469284,-0.2048943380072307,-2811.4157161182034,-452.5775030877797,-2358.8382130304235,2022
Manana Trail,-4.087208825637735,2.723342729550466,-4.20918471193283,-3.96523293934264,-7827.004901096262,13,-0.5207309346463813,0.07316827252995926,-0.6478583352200338,-0.37821479018390924,-6903.295706502134,-701.945299903322,-6201.350406598812,2022
Peacock Flats Campsite,-79.62825932402703,52.96646053680646,-82.00057585172222,-77.25594279633184,-152488.11660551175,14,-21.92489261354822,0.9535484364585777,-23.856988561881042,-20.447494505259662,-134492.12999828166,-29554.755243063002,-104937.37475521865,2022
Sugi Grove,-8.434003303541699,10.612356868457358,-8.909320501286983,-7.9586861057964144,-16151.116326282354,15,-3.0819512318311477,0.3163256626696359,-3.7020067423973186,-2.6404758766390453,-14245.03157968193,-4154.470260508387,-10090.561319173543,2022
Waialae Cabin Campsite,-1.6732706214543844,2.040280606123412,-1.7646528160354078,-1.581888426873361,-3204.3132400851464,16,-1.018947745435047,0.2119042881876588,-1.4848037852554776,-0.6755019287756623,-2826.154079636455,-1373.5415608464434,-1452.6125187900118,2022
Waikoali,-6.8224052365106695,8.536495489921249,-7.204746611299401,-6.440063861721938,-13064.906027917932,17,-2.956201966735513,0.40624869803757985,-3.5476420122768717,-2.275648210934154,-11523.04244446652,-3984.9602511594717,-7538.082193307049,2022
