"policy","mean","std.dev","ci_lo2.5%","ci_hi97.5%"
"policy1",-0.668544692674866,0.22409845425536,-1.07216803226764,-0.303353746871655
"policy10",-0.189301289948964,0.045113368905053,-0.289659430772957,-0.119764017518877
"policy11",-6.65306471925612,0.797596459458779,-7.96788047571009,-5.53464797119434
"policy12",-0.136177695288117,0.05669974290407,-0.252670274212405,-0.0536020313153065
"policy13",-0.169959108938169,0.0442990585016173,-0.247028008108327,-0.0994911034010167
"policy14",-13.731523310333,1.07946764200128,-15.7981799237423,-12.1386826702337
"policy15",-6.47698918300377,0.614380736618164,-7.52253306527088,-5.57294103729243
"policy16",-0.758670585442319,0.233262439715378,-1.21602194146666,-0.480216465318881
"policy17",-3.36303782614118,0.434430768112398,-4.22239248445106,-2.63257568003328
"policy18",-1.7520426359203,0.454474563879306,-2.74081283276634,-1.17332401578353
"policy19",-0.0657730478631319,0.0328786792780283,-0.138047139476921,-0.0215193682496034
"policy2",-1.7377449486795,0.351318454196643,-2.35235727337715,-1.19797228905472
"policy20",-6.06230137539511,0.560444262771265,-7.12134090897995,-5.12960752883051
"policy21",-2.52025186340558,0.423784824094693,-3.2686665381171,-1.7728647823432
"policy22",-0.0601863694304153,0.0283379630363772,-0.112192516857891,-0.0221153179874453
"policy23",-56.6636608964418,2.45981853521736,-60.5626159705112,-51.8713556255314
"policy3",-2.85657721952256,0.669538653735645,-4.26713095511233,-1.98667317688715
"policy4",-0.0294455948393099,0.0134948138446013,-0.0544684892531711,-0.00951144339919681
"policy5",-0.222642044548996,0.0956334008076086,-0.436265725841733,-0.110851787950147
"policy6",-4.9147390881629,0.448358975271276,-5.776881303641,-4.09068783841459
"policy7",-0.804560719134931,0.185809346923838,-1.10994171901525,-0.525115653146075
"policy8",-3.3696617365358,0.344710177443657,-4.17282373265243,-2.87704448835842
"policy9",-0.0803131238561603,0.0329005395556996,-0.14552681720859,-0.0342701446116936
