"policy","mean","std.dev","ci_lo2.5%","ci_hi97.5%"
"policy1",-1.65669702815547,0.33551950850485,-2.35240610901884,-1.16160943089664
"policy10",-0.28363462558036,0.0595041589915725,-0.385492118143089,-0.204758773925011
"policy11",-1.79858666304667,0.292752736840745,-2.3552962127391,-1.31483770333419
"policy12",-0.0870891779291025,0.0242579782387601,-0.132135038128339,-0.051686576755521
"policy13",-14.6516671855498,0.916986966142722,-16.6085561746657,-13.4816952869218
"policy14",-2.05557816795304,0.339969415399685,-2.63404924460426,-1.47912074106485
"policy15",-1.23444470208957,0.502050496602385,-2.42037636949335,-0.655707357874951
"policy16",-0.765001097760752,0.141096898353169,-1.03532162182123,-0.581054973153094
"policy17",-0.401753812121207,0.124087569219392,-0.643831564610704,-0.226788524929814
"policy18",-0.0313160050795058,0.0126184658673937,-0.0576241879478657,-0.0132050838297734
"policy19",-26.0768072574031,1.52948963582174,-28.6016435503571,-23.4598112252446
"policy2",-1.27160410148185,0.280888703500656,-1.85837327354844,-0.806819534306379
"policy20",-1.75109621008397,0.432530820767439,-2.51719085235369,-1.06948256213742
"policy21",-0.00976909234608909,0.00495275742113714,-0.0193148972252606,-0.00306332809936287
"policy22",-64.2222747197946,2.69446524838484,-69.2008679306916,-60.3380239006685
"policy3",-1.08873800323288,0.271987865208093,-1.6130906998966,-0.685444591654789
"policy4",-0.0322539878319535,0.0205202921203231,-0.0813540998609228,-0.00852981184692476
"policy5",-0.134750357723875,0.0540945045031413,-0.232436663197228,-0.0686971695819769
"policy6",-2.31934719736455,0.308064779959688,-2.79661352860473,-1.69167801531529
"policy7",-5.61480452705913,0.395548621798937,-6.47147242532978,-4.95949339177231
"policy8",-2.82996019106625,0.362389342862785,-3.55722002148964,-2.23803539217302
"policy9",-0.0504219635307355,0.0192425320972383,-0.0890581023869109,-0.0205074733789542
