"policy","mean","std.dev","ci_lo2.5%","ci_hi97.5%"
"policy1",-1.18985600832127,0.238062399826386,-1.61585083501905,-0.810159256039081
"policy10",-0.805381166112417,0.0976042395506385,-1.00564692778869,-0.667914702267031
"policy11",-1.96955428399919,0.277174844744363,-2.63397474851123,-1.47396295153777
"policy12",-0.212330981707017,0.0493294761656125,-0.309404930616211,-0.143131229467008
"policy13",-0.375041005155962,0.0577281721935984,-0.482834128190568,-0.270332840544581
"policy14",-20.3096401534958,1.0477626515053,-21.8720313559507,-18.4828428618844
"policy15",-2.70800372358746,0.343206379546284,-3.36042742498257,-2.17493211478726
"policy16",-0.502795257513213,0.123206966992092,-0.75695099324704,-0.30665054238236
"policy17",-2.22734595839676,0.259406047972197,-2.76145345307129,-1.84661631365094
"policy18",-0.354357919682666,0.160404601733784,-0.794448281144206,-0.189509727732928
"policy19",-0.21191665634854,0.0458244425113982,-0.312073521134944,-0.133961714987784
"policy2",-1.07429289884664,0.262036835067442,-1.50733847068708,-0.677344818721332
"policy20",-12.4077709456526,0.928583245827352,-13.9511791835678,-10.5890671547306
"policy21",-1.87934157332306,0.312797814338792,-2.60687722258672,-1.44456213925067
"policy22",-0.173437264621248,0.0519671404834042,-0.286414017875881,-0.103875992474457
"policy23",-60.9497595722202,2.09011212541429,-64.1667880316281,-56.9717413221894
"policy3",-1.5257186428473,0.302694232959851,-2.13070878058743,-1.10473945176764
"policy4",-0.195290488007029,0.0750617362944877,-0.341153351670791,-0.108198875756824
"policy5",-0.476375780090322,0.0860682330738232,-0.635007844206988,-0.343996785331321
"policy6",-3.72251251652216,0.35603303953379,-4.41430757420141,-3.12878800356464
"policy7",-0.684541524263468,0.155306398978468,-0.953381251059205,-0.439963063841164
"policy8",-7.81078242412505,0.48748492064768,-8.6297416886,-7.0645080321515
"policy9",-0.0826470095804304,0.0227659467063285,-0.119593204197812,-0.0438044666492808
