"site","mean_value","id","zip"
1,3.88051072756449e-12,5,96766
2,3.88051072756449e-12,5,96766
3,3.88051072756449e-12,5,96766
4,3.88051072756449e-12,5,96766
5,3.88051072756449e-12,5,96766
6,-25.418713530153,5,96766
7,3.88051072756449e-12,5,96766
8,3.88051072756449e-12,5,96766
9,3.88051072756449e-12,5,96766
10,3.88051072756449e-12,5,96766
11,3.88051072756449e-12,5,96766
12,3.88051072756449e-12,5,96766
13,3.88051072756449e-12,5,96766
14,3.88051072756449e-12,5,96766
15,3.88051072756449e-12,5,96766
16,3.88051072756449e-12,5,96766
17,3.88051072756449e-12,5,96766
18,3.88051072756449e-12,5,96766
19,3.88051072756449e-12,5,96766
20,3.88051072756449e-12,5,96766
21,3.88051072756449e-12,5,96766
22,3.88051072756449e-12,5,96766
23,-25.418713530153,5,96766
1,4.85063840945562e-13,16,96744
2,4.85063840945562e-13,16,96744
3,4.85063840945562e-13,16,96744
4,4.85063840945562e-13,16,96744
5,4.85063840945562e-13,16,96744
6,4.85063840945562e-13,16,96744
7,4.85063840945562e-13,16,96744
8,4.85063840945562e-13,16,96744
9,4.85063840945562e-13,16,96744
10,4.85063840945562e-13,16,96744
11,4.85063840945562e-13,16,96744
12,4.85063840945562e-13,16,96744
13,4.85063840945562e-13,16,96744
14,-33.9330163573056,16,96744
15,4.85063840945562e-13,16,96744
16,4.85063840945562e-13,16,96744
17,4.85063840945562e-13,16,96744
18,4.85063840945562e-13,16,96744
19,4.85063840945562e-13,16,96744
20,4.85063840945562e-13,16,96744
21,4.85063840945562e-13,16,96744
22,4.85063840945562e-13,16,96744
23,-33.9330163573056,16,96744
1,4.36557456851006e-12,19,96722
2,4.36557456851006e-12,19,96722
3,4.36557456851006e-12,19,96722
4,4.36557456851006e-12,19,96722
5,4.36557456851006e-12,19,96722
6,4.36557456851006e-12,19,96722
7,4.36557456851006e-12,19,96722
8,4.36557456851006e-12,19,96722
9,4.36557456851006e-12,19,96722
10,4.36557456851006e-12,19,96722
11,4.36557456851006e-12,19,96722
12,4.36557456851006e-12,19,96722
13,4.36557456851006e-12,19,96722
14,4.36557456851006e-12,19,96722
15,-30.6415008371094,19,96722
16,4.36557456851006e-12,19,96722
17,4.36557456851006e-12,19,96722
18,4.36557456851006e-12,19,96722
19,4.36557456851006e-12,19,96722
20,4.36557456851006e-12,19,96722
21,4.36557456851006e-12,19,96722
22,4.36557456851006e-12,19,96722
23,-30.6415008371094,19,96722
1,1.94025536378225e-12,55,96734
2,1.94025536378225e-12,55,96734
3,1.94025536378225e-12,55,96734
4,1.94025536378225e-12,55,96734
5,1.94025536378225e-12,55,96734
6,1.94025536378225e-12,55,96734
7,1.94025536378225e-12,55,96734
8,-28.5920618444473,55,96734
9,1.94025536378225e-12,55,96734
10,1.94025536378225e-12,55,96734
11,1.94025536378225e-12,55,96734
12,1.94025536378225e-12,55,96734
13,1.94025536378225e-12,55,96734
14,-32.0007774114002,55,96734
15,1.94025536378225e-12,55,96734
16,1.94025536378225e-12,55,96734
17,1.94025536378225e-12,55,96734
18,1.94025536378225e-12,55,96734
19,1.94025536378225e-12,55,96734
20,1.94025536378225e-12,55,96734
21,1.94025536378225e-12,55,96734
22,1.94025536378225e-12,55,96734
23,-60.675503381788,55,96734
1,-2.91038304567337e-12,56,96722
2,-2.91038304567337e-12,56,96722
3,-2.91038304567337e-12,56,96722
4,-2.91038304567337e-12,56,96722
5,-2.91038304567337e-12,56,96722
6,-34.4921031288043,56,96722
7,-2.91038304567337e-12,56,96722
8,-2.91038304567337e-12,56,96722
9,-2.91038304567337e-12,56,96722
10,-2.91038304567337e-12,56,96722
11,-2.91038304567337e-12,56,96722
12,-2.91038304567337e-12,56,96722
13,-2.91038304567337e-12,56,96722
14,-2.91038304567337e-12,56,96722
15,-2.91038304567337e-12,56,96722
16,-2.91038304567337e-12,56,96722
17,-2.91038304567337e-12,56,96722
18,-2.91038304567337e-12,56,96722
19,-2.91038304567337e-12,56,96722
20,-2.91038304567337e-12,56,96722
21,-2.91038304567337e-12,56,96722
22,-2.91038304567337e-12,56,96722
23,-34.4921031624869,56,96722
1,-2.42531920472781e-12,64,96734
2,-2.42531920472781e-12,64,96734
3,-2.42531920472781e-12,64,96734
4,-2.42531920472781e-12,64,96734
5,-2.42531920472781e-12,64,96734
6,-2.42531920472781e-12,64,96734
7,-2.42531920472781e-12,64,96734
8,-2.42531920472781e-12,64,96734
9,-2.42531920472781e-12,64,96734
10,-2.42531920472781e-12,64,96734
11,-2.42531920472781e-12,64,96734
12,-2.42531920472781e-12,64,96734
13,-2.42531920472781e-12,64,96734
14,-2.42531920472781e-12,64,96734
15,-2.42531920472781e-12,64,96734
16,-2.42531920472781e-12,64,96734
17,-2.42531920472781e-12,64,96734
18,-2.42531920472781e-12,64,96734
19,-2.42531920472781e-12,64,96734
20,-154.592094502877,64,96734
21,-2.42531920472781e-12,64,96734
22,-2.42531920472781e-12,64,96734
23,-154.592094802796,64,96734
1,9.70127681891123e-12,77,96744
2,9.70127681891123e-12,77,96744
3,9.70127681891123e-12,77,96744
4,9.70127681891123e-12,77,96744
5,9.70127681891123e-12,77,96744
6,9.70127681891123e-12,77,96744
7,9.70127681891123e-12,77,96744
8,9.70127681891123e-12,77,96744
9,9.70127681891123e-12,77,96744
10,9.70127681891123e-12,77,96744
11,9.70127681891123e-12,77,96744
12,9.70127681891123e-12,77,96744
13,9.70127681891123e-12,77,96744
14,-34.3050419035644,77,96744
15,9.70127681891123e-12,77,96744
16,9.70127681891123e-12,77,96744
17,9.70127681891123e-12,77,96744
18,9.70127681891123e-12,77,96744
19,9.70127681891123e-12,77,96744
20,9.70127681891123e-12,77,96744
21,9.70127681891123e-12,77,96744
22,9.70127681891123e-12,77,96744
23,-34.3050419035644,77,96744
1,-5.82076609134674e-12,83,96722
2,-5.82076609134674e-12,83,96722
3,-5.82076609134674e-12,83,96722
4,-5.82076609134674e-12,83,96722
5,-5.82076609134674e-12,83,96722
6,-5.82076609134674e-12,83,96722
7,-5.82076609134674e-12,83,96722
8,-5.82076609134674e-12,83,96722
9,-5.82076609134674e-12,83,96722
10,-5.82076609134674e-12,83,96722
11,-5.82076609134674e-12,83,96722
12,-5.82076609134674e-12,83,96722
13,-5.82076609134674e-12,83,96722
14,-5.82076609134674e-12,83,96722
15,-5.82076609134674e-12,83,96722
16,-5.82076609134674e-12,83,96722
17,-29.6886858361928,83,96722
18,-5.82076609134674e-12,83,96722
19,-5.82076609134674e-12,83,96722
20,-5.82076609134674e-12,83,96722
21,-5.82076609134674e-12,83,96722
22,-5.82076609134674e-12,83,96722
23,-29.6886858361928,83,96722
1,-9.70127681891123e-13,101,96789
2,-9.70127681891123e-13,101,96789
3,-9.70127681891123e-13,101,96789
4,-9.70127681891123e-13,101,96789
5,-9.70127681891123e-13,101,96789
6,-9.70127681891123e-13,101,96789
7,-9.70127681891123e-13,101,96789
8,-9.70127681891123e-13,101,96789
9,-9.70127681891123e-13,101,96789
10,-9.70127681891123e-13,101,96789
11,-9.70127681891123e-13,101,96789
12,-9.70127681891123e-13,101,96789
13,-9.70127681891123e-13,101,96789
14,-27.0390819075585,101,96789
15,-9.70127681891123e-13,101,96789
16,-9.70127681891123e-13,101,96789
17,-9.70127681891123e-13,101,96789
18,-9.70127681891123e-13,101,96789
19,-9.70127681891123e-13,101,96789
20,-9.70127681891123e-13,101,96789
21,-9.70127681891123e-13,101,96789
22,-9.70127681891123e-13,101,96789
23,-27.0390819075585,101,96789
1,-4.85063840945562e-12,118,96821
2,-4.85063840945562e-12,118,96821
3,-4.85063840945562e-12,118,96821
4,-4.85063840945562e-12,118,96821
5,-4.85063840945562e-12,118,96821
6,-4.85063840945562e-12,118,96821
7,-4.85063840945562e-12,118,96821
8,-4.85063840945562e-12,118,96821
9,-4.85063840945562e-12,118,96821
10,-4.85063840945562e-12,118,96821
11,-4.85063840945562e-12,118,96821
12,-4.85063840945562e-12,118,96821
13,-4.85063840945562e-12,118,96821
14,-44.6315851108443,118,96821
15,-4.85063840945562e-12,118,96821
16,-4.85063840945562e-12,118,96821
17,-4.85063840945562e-12,118,96821
18,-4.85063840945562e-12,118,96821
19,-4.85063840945562e-12,118,96821
20,-4.85063840945562e-12,118,96821
21,-4.85063840945562e-12,118,96821
22,-4.85063840945562e-12,118,96821
23,-44.6315851108443,118,96821
1,-8.73114913702011e-12,121,96716
2,-0.993543186906909,121,96716
3,-8.73114913702011e-12,121,96716
4,-8.73114913702011e-12,121,96716
5,-8.73114913702011e-12,121,96716
6,-8.73114913702011e-12,121,96716
7,-8.73114913702011e-12,121,96716
8,-8.73114913702011e-12,121,96716
9,-8.73114913702011e-12,121,96716
10,-8.73114913702011e-12,121,96716
11,-8.73114913702011e-12,121,96716
12,-8.73114913702011e-12,121,96716
13,-8.73114913702011e-12,121,96716
14,-8.73114913702011e-12,121,96716
15,-8.73114913702011e-12,121,96716
16,-8.73114913702011e-12,121,96716
17,-8.73114913702011e-12,121,96716
18,-8.73114913702011e-12,121,96716
19,-8.73114913702011e-12,121,96716
20,-8.73114913702011e-12,121,96716
21,-8.73114913702011e-12,121,96716
22,-8.73114913702011e-12,121,96716
23,-0.993543186907967,121,96716
1,6.79089377323786e-12,123,96791
2,6.79089377323786e-12,123,96791
3,6.79089377323786e-12,123,96791
4,6.79089377323786e-12,123,96791
5,6.79089377323786e-12,123,96791
6,6.79089377323786e-12,123,96791
7,6.79089377323786e-12,123,96791
8,-23.2934374973367,123,96791
9,6.79089377323786e-12,123,96791
10,6.79089377323786e-12,123,96791
11,6.79089377323786e-12,123,96791
12,6.79089377323786e-12,123,96791
13,6.79089377323786e-12,123,96791
14,6.79089377323786e-12,123,96791
15,6.79089377323786e-12,123,96791
16,6.79089377323786e-12,123,96791
17,6.79089377323786e-12,123,96791
18,6.79089377323786e-12,123,96791
19,6.79089377323786e-12,123,96791
20,6.79089377323786e-12,123,96791
21,6.79089377323786e-12,123,96791
22,6.79089377323786e-12,123,96791
23,-23.2934374973367,123,96791
1,-7.27595761418343e-12,129,96791
2,-7.27595761418343e-12,129,96791
3,-7.27595761418343e-12,129,96791
4,-7.27595761418343e-12,129,96791
5,-7.27595761418343e-12,129,96791
6,-7.27595761418343e-12,129,96791
7,-7.27595761418343e-12,129,96791
8,-84.1111833750852,129,96791
9,-7.27595761418343e-12,129,96791
10,-7.27595761418343e-12,129,96791
11,-7.27595761418343e-12,129,96791
12,-7.27595761418343e-12,129,96791
13,-7.27595761418343e-12,129,96791
14,-26.2333833455758,129,96791
15,-7.27595761418343e-12,129,96791
16,-7.27595761418343e-12,129,96791
17,-7.27595761418343e-12,129,96791
18,-7.27595761418343e-12,129,96791
19,-7.27595761418343e-12,129,96791
20,-7.27595761418343e-12,129,96791
21,-7.27595761418343e-12,129,96791
22,-7.27595761418343e-12,129,96791
23,-110.496571025542,129,96791
1,9.70127681891123e-13,136,96816
2,9.70127681891123e-13,136,96816
3,9.70127681891123e-13,136,96816
4,9.70127681891123e-13,136,96816
5,9.70127681891123e-13,136,96816
6,9.70127681891123e-13,136,96816
7,9.70127681891123e-13,136,96816
8,9.70127681891123e-13,136,96816
9,9.70127681891123e-13,136,96816
10,-5.24313323389021,136,96816
11,9.70127681891123e-13,136,96816
12,9.70127681891123e-13,136,96816
13,9.70127681891123e-13,136,96816
14,9.70127681891123e-13,136,96816
15,9.70127681891123e-13,136,96816
16,9.70127681891123e-13,136,96816
17,9.70127681891123e-13,136,96816
18,9.70127681891123e-13,136,96816
19,9.70127681891123e-13,136,96816
20,9.70127681891123e-13,136,96816
21,9.70127681891123e-13,136,96816
22,9.70127681891123e-13,136,96816
23,-5.24313323389021,136,96816
1,-5.33570225040118e-12,137,96822
2,-5.33570225040118e-12,137,96822
3,-5.33570225040118e-12,137,96822
4,-5.33570225040118e-12,137,96822
5,-5.33570225040118e-12,137,96822
6,-5.33570225040118e-12,137,96822
7,-5.33570225040118e-12,137,96822
8,-5.33570225040118e-12,137,96822
9,-5.33570225040118e-12,137,96822
10,-5.33570225040118e-12,137,96822
11,-5.33570225040118e-12,137,96822
12,-5.33570225040118e-12,137,96822
13,-5.33570225040118e-12,137,96822
14,-24.6594802441565,137,96822
15,-5.33570225040118e-12,137,96822
16,-5.33570225040118e-12,137,96822
17,-5.33570225040118e-12,137,96822
18,-5.33570225040118e-12,137,96822
19,-5.33570225040118e-12,137,96822
20,-5.33570225040118e-12,137,96822
21,-5.33570225040118e-12,137,96822
22,-5.33570225040118e-12,137,96822
23,-24.6594802441565,137,96822
1,-3.39544688661893e-12,139,96740
2,-3.39544688661893e-12,139,96740
3,-3.39544688661893e-12,139,96740
4,-3.39544688661893e-12,139,96740
5,-3.39544688661893e-12,139,96740
6,-3.39544688661893e-12,139,96740
7,-3.39544688661893e-12,139,96740
8,-3.39544688661893e-12,139,96740
9,-3.39544688661893e-12,139,96740
10,-3.39544688661893e-12,139,96740
11,-3.39544688661893e-12,139,96740
12,-3.39544688661893e-12,139,96740
13,-3.39544688661893e-12,139,96740
14,-3.39544688661893e-12,139,96740
15,-3.39544688661893e-12,139,96740
16,-3.39544688661893e-12,139,96740
17,-3.39544688661893e-12,139,96740
18,-3.39544688661893e-12,139,96740
19,-3.39544688661893e-12,139,96740
20,-25.4652689615667,139,96740
21,-3.39544688661893e-12,139,96740
22,-3.39544688661893e-12,139,96740
23,-25.4652689615667,139,96740
1,0,144,96816
2,0,144,96816
3,0,144,96816
4,0,144,96816
5,0,144,96816
6,0,144,96816
7,0,144,96816
8,-25.5794516200049,144,96816
9,0,144,96816
10,0,144,96816
11,0,144,96816
12,0,144,96816
13,0,144,96816
14,0,144,96816
15,0,144,96816
16,0,144,96816
17,0,144,96816
18,0,144,96816
19,0,144,96816
20,0,144,96816
21,0,144,96816
22,0,144,96816
23,-25.5794516200049,144,96816
1,-2.91038304567337e-12,165,96746
2,-2.91038304567337e-12,165,96746
3,-2.91038304567337e-12,165,96746
4,-2.91038304567337e-12,165,96746
5,-2.91038304567337e-12,165,96746
6,-2.91038304567337e-12,165,96746
7,-2.91038304567337e-12,165,96746
8,-2.91038304567337e-12,165,96746
9,-2.91038304567337e-12,165,96746
10,-2.91038304567337e-12,165,96746
11,-2.91038304567337e-12,165,96746
12,-2.91038304567337e-12,165,96746
13,-2.91038304567337e-12,165,96746
14,-2.91038304567337e-12,165,96746
15,-30.0469111527418,165,96746
16,-2.91038304567337e-12,165,96746
17,-2.91038304567337e-12,165,96746
18,-2.91038304567337e-12,165,96746
19,-2.91038304567337e-12,165,96746
20,-2.91038304567337e-12,165,96746
21,-2.91038304567337e-12,165,96746
22,-2.91038304567337e-12,165,96746
23,-30.0469111527418,165,96746
1,-1.94025536378225e-12,183,96789
2,-1.94025536378225e-12,183,96789
3,-1.94025536378225e-12,183,96789
4,-1.94025536378225e-12,183,96789
5,-1.94025536378225e-12,183,96789
6,-1.94025536378225e-12,183,96789
7,-1.94025536378225e-12,183,96789
8,-1.94025536378225e-12,183,96789
9,-1.94025536378225e-12,183,96789
10,-1.94025536378225e-12,183,96789
11,-1.94025536378225e-12,183,96789
12,-1.94025536378225e-12,183,96789
13,-1.94025536378225e-12,183,96789
14,-26.6672131281501,183,96789
15,-1.94025536378225e-12,183,96789
16,-1.94025536378225e-12,183,96789
17,-1.94025536378225e-12,183,96789
18,-1.94025536378225e-12,183,96789
19,-1.94025536378225e-12,183,96789
20,-1.94025536378225e-12,183,96789
21,-1.94025536378225e-12,183,96789
22,-1.94025536378225e-12,183,96789
23,-26.6672131281501,183,96789
1,-2.91038304567337e-12,189,96863
2,-2.91038304567337e-12,189,96863
3,-2.91038304567337e-12,189,96863
4,-2.91038304567337e-12,189,96863
5,-2.91038304567337e-12,189,96863
6,-2.91038304567337e-12,189,96863
7,-2.91038304567337e-12,189,96863
8,-29.96114865933,189,96863
9,-2.91038304567337e-12,189,96863
10,-2.91038304567337e-12,189,96863
11,-2.91038304567337e-12,189,96863
12,-2.91038304567337e-12,189,96863
13,-2.91038304567337e-12,189,96863
14,-2.91038304567337e-12,189,96863
15,-2.91038304567337e-12,189,96863
16,-2.91038304567337e-12,189,96863
17,-2.91038304567337e-12,189,96863
18,-2.91038304567337e-12,189,96863
19,-2.91038304567337e-12,189,96863
20,-2.91038304567337e-12,189,96863
21,-2.91038304567337e-12,189,96863
22,-2.91038304567337e-12,189,96863
23,-29.96114865933,189,96863
1,-5.33570225040118e-12,195,96766
2,-5.33570225040118e-12,195,96766
3,-5.33570225040118e-12,195,96766
4,-5.33570225040118e-12,195,96766
5,-5.33570225040118e-12,195,96766
6,-5.33570225040118e-12,195,96766
7,-5.33570225040118e-12,195,96766
8,-5.33570225040118e-12,195,96766
9,-5.33570225040118e-12,195,96766
10,-5.33570225040118e-12,195,96766
11,-5.33570225040118e-12,195,96766
12,-5.33570225040118e-12,195,96766
13,-5.33570225040118e-12,195,96766
14,-5.33570225040118e-12,195,96766
15,-5.33570225040118e-12,195,96766
16,-5.33570225040118e-12,195,96766
17,-20.8736832541313,195,96766
18,-5.33570225040118e-12,195,96766
19,-5.33570225040118e-12,195,96766
20,-5.33570225040118e-12,195,96766
21,-5.33570225040118e-12,195,96766
22,-5.33570225040118e-12,195,96766
23,-20.8736832543296,195,96766
1,-2.66785112520059e-12,201,96826
2,-2.66785112520059e-12,201,96826
3,-2.66785112520059e-12,201,96826
4,-2.66785112520059e-12,201,96826
5,-2.66785112520059e-12,201,96826
6,-2.66785112520059e-12,201,96826
7,-2.66785112520059e-12,201,96826
8,-2.66785112520059e-12,201,96826
9,-2.66785112520059e-12,201,96826
10,-2.66785112520059e-12,201,96826
11,-2.66785112520059e-12,201,96826
12,-2.66785112520059e-12,201,96826
13,-2.66785112520059e-12,201,96826
14,-18.3082094322281,201,96826
15,-2.66785112520059e-12,201,96826
16,-2.66785112520059e-12,201,96826
17,-2.66785112520059e-12,201,96826
18,-2.66785112520059e-12,201,96826
19,-2.66785112520059e-12,201,96826
20,-2.66785112520059e-12,201,96826
21,-2.66785112520059e-12,201,96826
22,-2.66785112520059e-12,201,96826
23,-18.3082094322281,201,96826
1,4.85063840945562e-13,215,96744
2,4.85063840945562e-13,215,96744
3,4.85063840945562e-13,215,96744
4,4.85063840945562e-13,215,96744
5,4.85063840945562e-13,215,96744
6,4.85063840945562e-13,215,96744
7,4.85063840945562e-13,215,96744
8,4.85063840945562e-13,215,96744
9,4.85063840945562e-13,215,96744
10,4.85063840945562e-13,215,96744
11,4.85063840945562e-13,215,96744
12,4.85063840945562e-13,215,96744
13,4.85063840945562e-13,215,96744
