"site","mean_value","id","zip"
1,-9.21621297796567e-12,7,96743
2,-9.21621297796567e-12,7,96743
3,-9.21621297796567e-12,7,96743
4,-9.21621297796567e-12,7,96743
5,-9.21621297796567e-12,7,96743
6,-9.21621297796567e-12,7,96743
7,-33.1803892315642,7,96743
8,-9.21621297796567e-12,7,96743
9,-9.21621297796567e-12,7,96743
10,-9.21621297796567e-12,7,96743
11,-9.21621297796567e-12,7,96743
12,-9.21621297796567e-12,7,96743
13,-9.21621297796567e-12,7,96743
14,-9.21621297796567e-12,7,96743
15,-9.21621297796567e-12,7,96743
16,-9.21621297796567e-12,7,96743
17,-9.21621297796567e-12,7,96743
18,-9.21621297796567e-12,7,96743
19,-9.21621297796567e-12,7,96743
20,-9.21621297796567e-12,7,96743
21,-9.21621297796567e-12,7,96743
22,-33.1803892315642,7,96743
1,-1.11564683417479e-11,11,96777
2,-1.11564683417479e-11,11,96777
3,-1.11564683417479e-11,11,96777
4,-1.11564683417479e-11,11,96777
5,-1.11564683417479e-11,11,96777
6,-1.11564683417479e-11,11,96777
7,-1.11564683417479e-11,11,96777
8,-1.11564683417479e-11,11,96777
9,-1.11564683417479e-11,11,96777
10,-1.11564683417479e-11,11,96777
11,-1.11564683417479e-11,11,96777
12,-1.11564683417479e-11,11,96777
13,-1.11564683417479e-11,11,96777
14,-1.11564683417479e-11,11,96777
15,-1.11564683417479e-11,11,96777
16,-1.11564683417479e-11,11,96777
17,-1.11564683417479e-11,11,96777
18,-1.11564683417479e-11,11,96777
19,-43.4456477423133,11,96777
20,-1.11564683417479e-11,11,96777
21,-1.11564683417479e-11,11,96777
22,-43.4456477472112,11,96777
1,-7.27595761418343e-12,12,96816
2,-7.27595761418343e-12,12,96816
3,-7.27595761418343e-12,12,96816
4,-7.27595761418343e-12,12,96816
5,-7.27595761418343e-12,12,96816
6,-7.27595761418343e-12,12,96816
7,-7.27595761418343e-12,12,96816
8,-7.27595761418343e-12,12,96816
9,-7.27595761418343e-12,12,96816
10,-7.27595761418343e-12,12,96816
11,-7.27595761418343e-12,12,96816
12,-7.27595761418343e-12,12,96816
13,-30.7393415720178,12,96816
14,-7.27595761418343e-12,12,96816
15,-7.27595761418343e-12,12,96816
16,-7.27595761418343e-12,12,96816
17,-7.27595761418343e-12,12,96816
18,-7.27595761418343e-12,12,96816
19,-7.27595761418343e-12,12,96816
20,-7.27595761418343e-12,12,96816
21,-7.27595761418343e-12,12,96816
22,-30.7393415720178,12,96816
1,-1.45519152283669e-12,15,96717
2,-1.45519152283669e-12,15,96717
3,-1.45519152283669e-12,15,96717
4,-1.45519152283669e-12,15,96717
5,-1.45519152283669e-12,15,96717
6,-1.45519152283669e-12,15,96717
7,-1.45519152283669e-12,15,96717
8,-1.45519152283669e-12,15,96717
9,-1.45519152283669e-12,15,96717
10,-1.45519152283669e-12,15,96717
11,-1.45519152283669e-12,15,96717
12,-1.45519152283669e-12,15,96717
13,-127.849823560375,15,96717
14,-1.45519152283669e-12,15,96717
15,-1.45519152283669e-12,15,96717
16,-1.45519152283669e-12,15,96717
17,-1.45519152283669e-12,15,96717
18,-1.45519152283669e-12,15,96717
19,-1.45519152283669e-12,15,96717
20,-1.45519152283669e-12,15,96717
21,-1.45519152283669e-12,15,96717
22,-127.849823560375,15,96717
1,-9.21621297796567e-12,17,96795
2,-9.21621297796567e-12,17,96795
3,-9.21621297796567e-12,17,96795
4,-9.21621297796567e-12,17,96795
5,-9.21621297796567e-12,17,96795
6,-9.21621297796567e-12,17,96795
7,-9.21621297796567e-12,17,96795
8,-9.21621297796567e-12,17,96795
9,-9.21621297796567e-12,17,96795
10,-9.21621297796567e-12,17,96795
11,-9.21621297796567e-12,17,96795
12,-9.21621297796567e-12,17,96795
13,-122.353986193087,17,96795
14,-9.21621297796567e-12,17,96795
15,-9.21621297796567e-12,17,96795
16,-9.21621297796567e-12,17,96795
17,-9.21621297796567e-12,17,96795
18,-9.21621297796567e-12,17,96795
19,-9.21621297796567e-12,17,96795
20,-9.21621297796567e-12,17,96795
21,-9.21621297796567e-12,17,96795
22,-122.353986214584,17,96795
1,-9.01424268810103,18,96785
2,9.70127681891123e-13,18,96785
3,9.70127681891123e-13,18,96785
4,9.70127681891123e-13,18,96785
5,9.70127681891123e-13,18,96785
6,9.70127681891123e-13,18,96785
7,9.70127681891123e-13,18,96785
8,9.70127681891123e-13,18,96785
9,9.70127681891123e-13,18,96785
10,9.70127681891123e-13,18,96785
11,9.70127681891123e-13,18,96785
12,9.70127681891123e-13,18,96785
13,9.70127681891123e-13,18,96785
14,9.70127681891123e-13,18,96785
15,9.70127681891123e-13,18,96785
16,9.70127681891123e-13,18,96785
17,9.70127681891123e-13,18,96785
18,9.70127681891123e-13,18,96785
19,9.70127681891123e-13,18,96785
20,9.70127681891123e-13,18,96785
21,9.70127681891123e-13,18,96785
22,-9.01424268810103,18,96785
1,-3.88051072756449e-12,21,96826
2,-3.88051072756449e-12,21,96826
3,-3.88051072756449e-12,21,96826
4,-3.88051072756449e-12,21,96826
5,-3.88051072756449e-12,21,96826
6,-3.88051072756449e-12,21,96826
7,-3.88051072756449e-12,21,96826
8,-3.88051072756449e-12,21,96826
9,-3.88051072756449e-12,21,96826
10,-3.88051072756449e-12,21,96826
11,-3.88051072756449e-12,21,96826
12,-3.88051072756449e-12,21,96826
13,-20.161407316186,21,96826
14,-3.88051072756449e-12,21,96826
15,-3.88051072756449e-12,21,96826
16,-3.88051072756449e-12,21,96826
17,-3.88051072756449e-12,21,96826
18,-3.88051072756449e-12,21,96826
19,-3.88051072756449e-12,21,96826
20,-3.88051072756449e-12,21,96826
21,-3.88051072756449e-12,21,96826
22,-20.161407316186,21,96826
1,-7.76102145512899e-12,23,96786
2,-7.76102145512899e-12,23,96786
3,-7.76102145512899e-12,23,96786
4,-7.76102145512899e-12,23,96786
5,-7.76102145512899e-12,23,96786
6,-7.76102145512899e-12,23,96786
7,-7.76102145512899e-12,23,96786
8,-7.76102145512899e-12,23,96786
9,-7.76102145512899e-12,23,96786
10,-7.76102145512899e-12,23,96786
11,-7.76102145512899e-12,23,96786
12,-7.76102145512899e-12,23,96786
13,-25.0838146662931,23,96786
14,-7.76102145512899e-12,23,96786
15,-7.76102145512899e-12,23,96786
16,-7.76102145512899e-12,23,96786
17,-7.76102145512899e-12,23,96786
18,-7.76102145512899e-12,23,96786
19,-7.76102145512899e-12,23,96786
20,-7.76102145512899e-12,23,96786
21,-7.76102145512899e-12,23,96786
22,-25.0838146662931,23,96786
1,-1.94025536378225e-12,30,96817
2,-1.94025536378225e-12,30,96817
3,-1.94025536378225e-12,30,96817
4,-1.94025536378225e-12,30,96817
