"policy","mean","std.dev","ci_lo2.5%","ci_hi97.5%"
"policy1",-1.74209219857804,0.307751755835341,-2.32568628542476,-1.29234434223028
"policy10",-0.579762713766052,0.0891255790442656,-0.714473167797788,-0.424827031007569
"policy11",-5.19839332390842,0.502571656873666,-6.00220442623304,-4.04083968633186
"policy12",-0.311829084628044,0.0787012619540862,-0.487626246316188,-0.198655963907028
"policy13",-0.544353332274004,0.0891767764262258,-0.718140123349282,-0.366741268897338
"policy14",-21.918505352707,1.23176809719643,-23.957409146074,-19.6719123202337
"policy15",-3.15926924379436,0.370518810653192,-3.71805095031274,-2.57890248783191
"policy16",-0.963505718886149,0.303167639380181,-1.63675450987117,-0.556069781619407
"policy17",-2.93856855312629,0.388801978076068,-3.60239592821978,-2.39863204172488
"policy18",-0.516418964443211,0.203223355620672,-0.893817542873327,-0.248533232325808
"policy19",-0.150917749766397,0.0476055968222182,-0.255915096854191,-0.0853911822098627
"policy2",-1.83231552803413,0.357410714570075,-2.47194079681535,-1.3577652367069
"policy20",-4.54496226042891,0.533047333231418,-5.51103561809168,-3.6416012731567
"policy21",-3.14782456720186,0.601141647541932,-4.1577211766199,-2.1997189233982
"policy22",-0.121759815112746,0.0312672616619087,-0.176693810839624,-0.0761878501757865
"policy23",-62.2272935126506,2.88625716631179,-68.5671585038172,-56.8413434991938
"policy3",-1.53131532282635,0.301678425002027,-2.03429686345897,-0.985299850906764
"policy4",-0.0468310250207645,0.0136020657240594,-0.0694925142746107,-0.025172595079531
"policy5",-0.502690656799414,0.109891923311127,-0.708445487866971,-0.325886184441691
"policy6",-5.30336693662546,0.370192331655522,-5.88302549740981,-4.59002432918844
"policy7",-1.23279147399161,0.222187957375632,-1.6988662237635,-0.909271486286193
"policy8",-5.75880112643491,0.456572068320717,-6.58100845071396,-4.88497624578368
"policy9",-0.0705077918741729,0.0295556855169076,-0.143733660786024,-0.0278348797217338
