"site","mean_value","id","zip"
1,1.94025536378225e-11,2,96720
2,1.94025536378225e-11,2,96720
3,1.94025536378225e-11,2,96720
4,1.94025536378225e-11,2,96720
5,1.94025536378225e-11,2,96720
6,1.94025536378225e-11,2,96720
7,1.94025536378225e-11,2,96720
8,1.94025536378225e-11,2,96720
9,1.94025536378225e-11,2,96720
10,1.94025536378225e-11,2,96720
11,1.94025536378225e-11,2,96720
12,1.94025536378225e-11,2,96720
13,1.94025536378225e-11,2,96720
14,1.94025536378225e-11,2,96720
15,1.94025536378225e-11,2,96720
16,1.94025536378225e-11,2,96720
17,1.94025536378225e-11,2,96720
18,1.94025536378225e-11,2,96720
19,1.94025536378225e-11,2,96720
20,-30.1839323781254,2,96720
21,1.94025536378225e-11,2,96720
22,1.94025536378225e-11,2,96720
23,-30.1839323781254,2,96720
1,2.71635750929515e-11,15,96717
2,2.71635750929515e-11,15,96717
3,2.71635750929515e-11,15,96717
4,2.71635750929515e-11,15,96717
5,2.71635750929515e-11,15,96717
6,2.71635750929515e-11,15,96717
7,2.71635750929515e-11,15,96717
8,2.71635750929515e-11,15,96717
9,2.71635750929515e-11,15,96717
10,2.71635750929515e-11,15,96717
11,2.71635750929515e-11,15,96717
12,2.71635750929515e-11,15,96717
13,2.71635750929515e-11,15,96717
14,2.71635750929515e-11,15,96717
15,2.71635750929515e-11,15,96717
16,2.71635750929515e-11,15,96717
17,-107.375958132529,15,96717
18,2.71635750929515e-11,15,96717
19,2.71635750929515e-11,15,96717
20,2.71635750929515e-11,15,96717
21,2.71635750929515e-11,15,96717
22,2.71635750929515e-11,15,96717
23,-107.375958147101,15,96717
1,2.7648638933897e-11,20,96746
2,2.7648638933897e-11,20,96746
3,2.7648638933897e-11,20,96746
4,2.7648638933897e-11,20,96746
5,2.7648638933897e-11,20,96746
6,2.7648638933897e-11,20,96746
7,2.7648638933897e-11,20,96746
8,2.7648638933897e-11,20,96746
9,2.7648638933897e-11,20,96746
10,2.7648638933897e-11,20,96746
11,2.7648638933897e-11,20,96746
12,2.7648638933897e-11,20,96746
13,2.7648638933897e-11,20,96746
14,-34.6682968198972,20,96746
15,2.7648638933897e-11,20,96746
16,2.7648638933897e-11,20,96746
17,2.7648638933897e-11,20,96746
18,2.7648638933897e-11,20,96746
19,2.7648638933897e-11,20,96746
20,2.7648638933897e-11,20,96746
21,2.7648638933897e-11,20,96746
22,2.7648638933897e-11,20,96746
23,-34.6682968198972,20,96746
1,3.29843411842982e-11,22,96706
2,3.29843411842982e-11,22,96706
3,3.29843411842982e-11,22,96706
4,3.29843411842982e-11,22,96706
5,3.29843411842982e-11,22,96706
6,-34.6735477757674,22,96706
7,3.29843411842982e-11,22,96706
8,3.29843411842982e-11,22,96706
9,3.29843411842982e-11,22,96706
10,3.29843411842982e-11,22,96706
11,3.29843411842982e-11,22,96706
12,3.29843411842982e-11,22,96706
13,3.29843411842982e-11,22,96706
14,3.29843411842982e-11,22,96706
15,3.29843411842982e-11,22,96706
16,3.29843411842982e-11,22,96706
17,3.29843411842982e-11,22,96706
18,3.29843411842982e-11,22,96706
19,3.29843411842982e-11,22,96706
20,3.29843411842982e-11,22,96706
21,3.29843411842982e-11,22,96706
22,3.29843411842982e-11,22,96706
23,-34.6735477757674,22,96706
1,4.07453626394272e-11,24,96789
2,4.07453626394272e-11,24,96789
3,4.07453626394272e-11,24,96789
4,4.07453626394272e-11,24,96789
5,4.07453626394272e-11,24,96789
6,4.07453626394272e-11,24,96789
7,4.07453626394272e-11,24,96789
8,4.07453626394272e-11,24,96789
9,4.07453626394272e-11,24,96789
10,4.07453626394272e-11,24,96789
11,4.07453626394272e-11,24,96789
12,4.07453626394272e-11,24,96789
13,4.07453626394272e-11,24,96789
14,-20.658366647973,24,96789
15,4.07453626394272e-11,24,96789
16,4.07453626394272e-11,24,96789
17,4.07453626394272e-11,24,96789
18,4.07453626394272e-11,24,96789
19,4.07453626394272e-11,24,96789
20,4.07453626394272e-11,24,96789
21,4.07453626394272e-11,24,96789
22,4.07453626394272e-11,24,96789
23,-20.6583666486884,24,96789
1,4.89914479355017e-11,5164,96752
2,4.89914479355017e-11,5164,96752
3,4.89914479355017e-11,5164,96752
4,4.89914479355017e-11,5164,96752
5,4.89914479355017e-11,5164,96752
6,4.89914479355017e-11,5164,96752
7,4.89914479355017e-11,5164,96752
8,4.89914479355017e-11,5164,96752
9,4.89914479355017e-11,5164,96752
10,4.89914479355017e-11,5164,96752
11,4.89914479355017e-11,5164,96752
12,4.89914479355017e-11,5164,96752
13,4.89914479355017e-11,5164,96752
14,-27.9598248427724,5164,96752
15,4.89914479355017e-11,5164,96752
16,4.89914479355017e-11,5164,96752
17,4.89914479355017e-11,5164,96752
18,4.89914479355017e-11,5164,96752
19,4.89914479355017e-11,5164,96752
20,4.89914479355017e-11,5164,96752
21,4.89914479355017e-11,5164,96752
22,4.89914479355017e-11,5164,96752
23,-27.9598248427724,5164,96752
1,3.5409660389026e-11,5165,96722
2,3.5409660389026e-11,5165,96722
3,3.5409660389026e-11,5165,96722
4,3.5409660389026e-11,5165,96722
5,3.5409660389026e-11,5165,96722
6,3.5409660389026e-11,5165,96722
7,3.5409660389026e-11,5165,96722
8,3.5409660389026e-11,5165,96722
9,3.5409660389026e-11,5165,96722
10,3.5409660389026e-11,5165,96722
11,3.5409660389026e-11,5165,96722
12,3.5409660389026e-11,5165,96722
13,3.5409660389026e-11,5165,96722
14,3.5409660389026e-11,5165,96722
15,3.5409660389026e-11,5165,96722
16,3.5409660389026e-11,5165,96722
17,3.5409660389026e-11,5165,96722
18,3.5409660389026e-11,5165,96722
19,3.5409660389026e-11,5165,96722
20,3.5409660389026e-11,5165,96722
21,3.5409660389026e-11,5165,96722
22,-9.03629865021649,5165,96722
23,-9.03629865021649,5165,96722
1,1.09139364212751e-11,27,96818
2,1.09139364212751e-11,27,96818
3,1.09139364212751e-11,27,96818
4,1.09139364212751e-11,27,96818
5,1.09139364212751e-11,27,96818
6,1.09139364212751e-11,27,96818
7,1.09139364212751e-11,27,96818
8,1.09139364212751e-11,27,96818
9,1.09139364212751e-11,27,96818
10,1.09139364212751e-11,27,96818
11,1.09139364212751e-11,27,96818
12,1.09139364212751e-11,27,96818
13,1.09139364212751e-11,27,96818
14,1.09139364212751e-11,27,96818
15,1.09139364212751e-11,27,96818
16,1.09139364212751e-11,27,96818
17,1.09139364212751e-11,27,96818
18,-11.0613854612997,27,96818
19,1.09139364212751e-11,27,96818
20,1.09139364212751e-11,27,96818
21,1.09139364212751e-11,27,96818
22,1.09139364212751e-11,27,96818
23,-11.0613854612997,27,96818
1,1.81898940354586e-11,5167,96781
2,1.81898940354586e-11,5167,96781
3,1.81898940354586e-11,5167,96781
4,1.81898940354586e-11,5167,96781
5,1.81898940354586e-11,5167,96781
6,1.81898940354586e-11,5167,96781
7,1.81898940354586e-11,5167,96781
8,-19.5293907589975,5167,96781
9,1.81898940354586e-11,5167,96781
10,1.81898940354586e-11,5167,96781
11,1.81898940354586e-11,5167,96781
12,1.81898940354586e-11,5167,96781
13,1.81898940354586e-11,5167,96781
14,1.81898940354586e-11,5167,96781
15,1.81898940354586e-11,5167,96781
16,1.81898940354586e-11,5167,96781
17,1.81898940354586e-11,5167,96781
18,1.81898940354586e-11,5167,96781
19,1.81898940354586e-11,5167,96781
20,1.81898940354586e-11,5167,96781
21,1.81898940354586e-11,5167,96781
22,1.81898940354586e-11,5167,96781
23,-19.5293907589975,5167,96781
1,3.78349795937538e-11,28,96748
2,3.78349795937538e-11,28,96748
3,3.78349795937538e-11,28,96748
4,3.78349795937538e-11,28,96748
5,3.78349795937538e-11,28,96748
6,3.78349795937538e-11,28,96748
7,3.78349795937538e-11,28,96748
8,3.78349795937538e-11,28,96748
9,3.78349795937538e-11,28,96748
10,3.78349795937538e-11,28,96748
11,3.78349795937538e-11,28,96748
12,3.78349795937538e-11,28,96748
13,3.78349795937538e-11,28,96748
14,3.78349795937538e-11,28,96748
15,3.78349795937538e-11,28,96748
16,3.78349795937538e-11,28,96748
17,-31.9997036202646,28,96748
18,3.78349795937538e-11,28,96748
19,3.78349795937538e-11,28,96748
20,3.78349795937538e-11,28,96748
21,3.78349795937538e-11,28,96748
22,3.78349795937538e-11,28,96748
23,-31.9997036202646,28,96748
1,3.24992773433526e-11,29,96815
2,3.24992773433526e-11,29,96815
3,3.24992773433526e-11,29,96815
4,3.24992773433526e-11,29,96815
5,3.24992773433526e-11,29,96815
6,3.24992773433526e-11,29,96815
7,3.24992773433526e-11,29,96815
8,3.24992773433526e-11,29,96815
9,3.24992773433526e-11,29,96815
10,3.24992773433526e-11,29,96815
11,3.24992773433526e-11,29,96815
12,3.24992773433526e-11,29,96815
13,3.24992773433526e-11,29,96815
14,-27.1893462539144,29,96815
15,3.24992773433526e-11,29,96815
16,3.24992773433526e-11,29,96815
17,3.24992773433526e-11,29,96815
18,3.24992773433526e-11,29,96815
19,3.24992773433526e-11,29,96815
20,3.24992773433526e-11,29,96815
21,3.24992773433526e-11,29,96815
22,3.24992773433526e-11,29,96815
23,-27.1893462605915,29,96815
1,3.92901711165905e-11,31,96746
2,3.92901711165905e-11,31,96746
3,3.92901711165905e-11,31,96746
4,3.92901711165905e-11,31,96746
5,3.92901711165905e-11,31,96746
6,-36.0834303466424,31,96746
7,3.92901711165905e-11,31,96746
8,3.92901711165905e-11,31,96746
9,3.92901711165905e-11,31,96746
10,3.92901711165905e-11,31,96746
11,3.92901711165905e-11,31,96746
12,3.92901711165905e-11,31,96746
13,3.92901711165905e-11,31,96746
14,3.92901711165905e-11,31,96746
15,3.92901711165905e-11,31,96746
16,3.92901711165905e-11,31,96746
17,3.92901711165905e-11,31,96746
18,3.92901711165905e-11,31,96746
