"site","mean_value","id","zip"
1,-9.70127681891123e-13,19,96722
2,-9.70127681891123e-13,19,96722
3,-9.70127681891123e-13,19,96722
4,-9.70127681891123e-13,19,96722
5,-9.70127681891123e-13,19,96722
6,-35.7734173720673,19,96722
7,-9.70127681891123e-13,19,96722
8,-9.70127681891123e-13,19,96722
9,-9.70127681891123e-13,19,96722
10,-9.70127681891123e-13,19,96722
11,-9.70127681891123e-13,19,96722
12,-9.70127681891123e-13,19,96722
13,-9.70127681891123e-13,19,96722
14,-9.70127681891123e-13,19,96722
15,-9.70127681891123e-13,19,96722
16,-9.70127681891123e-13,19,96722
17,-9.70127681891123e-13,19,96722
18,-9.70127681891123e-13,19,96722
19,-9.70127681891123e-13,19,96722
20,-9.70127681891123e-13,19,96722
21,-9.70127681891123e-13,19,96722
22,-35.7734173720673,19,96722
1,-46.7162245713742,26,96740
2,-2.42531920472781e-12,26,96740
3,-2.42531920472781e-12,26,96740
4,-2.42531920472781e-12,26,96740
5,-2.42531920472781e-12,26,96740
6,-2.42531920472781e-12,26,96740
7,-2.42531920472781e-12,26,96740
8,-2.42531920472781e-12,26,96740
9,-2.42531920472781e-12,26,96740
10,-2.42531920472781e-12,26,96740
11,-2.42531920472781e-12,26,96740
12,-2.42531920472781e-12,26,96740
13,-2.42531920472781e-12,26,96740
14,-2.42531920472781e-12,26,96740
15,-2.42531920472781e-12,26,96740
16,-2.42531920472781e-12,26,96740
17,-2.42531920472781e-12,26,96740
18,-2.42531920472781e-12,26,96740
19,-2.42531920472781e-12,26,96740
20,-2.42531920472781e-12,26,96740
21,-2.42531920472781e-12,26,96740
22,-46.7162245713742,26,96740
1,-1.64921705921491e-11,5166,96720
2,-1.64921705921491e-11,5166,96720
3,-1.64921705921491e-11,5166,96720
4,-1.64921705921491e-11,5166,96720
5,-1.64921705921491e-11,5166,96720
6,-1.64921705921491e-11,5166,96720
7,-1.64921705921491e-11,5166,96720
8,-18.1808124608908,5166,96720
9,-1.64921705921491e-11,5166,96720
10,-1.64921705921491e-11,5166,96720
11,-1.64921705921491e-11,5166,96720
12,-1.64921705921491e-11,5166,96720
13,-1.64921705921491e-11,5166,96720
14,-1.64921705921491e-11,5166,96720
15,-1.64921705921491e-11,5166,96720
16,-1.64921705921491e-11,5166,96720
17,-1.64921705921491e-11,5166,96720
18,-1.64921705921491e-11,5166,96720
19,-1.64921705921491e-11,5166,96720
20,-1.64921705921491e-11,5166,96720
21,-1.64921705921491e-11,5166,96720
22,-18.1808124608908,5166,96720
1,-9.70127681891125e-13,30,96817
2,-9.70127681891125e-13,30,96817
3,-9.70127681891125e-13,30,96817
4,-9.70127681891125e-13,30,96817
5,-9.70127681891125e-13,30,96817
6,-9.70127681891125e-13,30,96817
7,-9.70127681891125e-13,30,96817
8,-9.70127681891125e-13,30,96817
9,-9.70127681891125e-13,30,96817
10,-9.70127681891125e-13,30,96817
11,-9.70127681891125e-13,30,96817
12,-9.70127681891125e-13,30,96817
13,-9.70127681891125e-13,30,96817
14,-9.70127681891125e-13,30,96817
15,-9.70127681891125e-13,30,96817
16,-26.7797577186425,30,96817
17,-9.70127681891125e-13,30,96817
18,-9.70127681891125e-13,30,96817
19,-9.70127681891125e-13,30,96817
20,-9.70127681891125e-13,30,96817
21,-9.70127681891125e-13,30,96817
22,-26.7797577186425,30,96817
1,-4.36557456851005e-12,35,96746
2,-4.36557456851005e-12,35,96746
3,-4.36557456851005e-12,35,96746
4,-4.36557456851005e-12,35,96746
5,-4.36557456851005e-12,35,96746
6,-4.36557456851005e-12,35,96746
7,-26.5645551777949,35,96746
8,-4.36557456851005e-12,35,96746
9,-4.36557456851005e-12,35,96746
10,-4.36557456851005e-12,35,96746
11,-4.36557456851005e-12,35,96746
12,-4.36557456851005e-12,35,96746
13,-4.36557456851005e-12,35,96746
14,-4.36557456851005e-12,35,96746
15,-4.36557456851005e-12,35,96746
16,-4.36557456851005e-12,35,96746
17,-4.36557456851005e-12,35,96746
18,-4.36557456851005e-12,35,96746
19,-4.36557456851005e-12,35,96746
20,-4.36557456851005e-12,35,96746
21,-4.36557456851005e-12,35,96746
22,-26.5645551777949,35,96746
1,-7.76102145512899e-12,36,96743
2,-7.76102145512899e-12,36,96743
3,-7.76102145512899e-12,36,96743
4,-7.76102145512899e-12,36,96743
5,-7.76102145512899e-12,36,96743
6,-7.76102145512899e-12,36,96743
7,-7.76102145512899e-12,36,96743
8,-7.76102145512899e-12,36,96743
9,-7.76102145512899e-12,36,96743
10,-7.76102145512899e-12,36,96743
11,-7.76102145512899e-12,36,96743
12,-7.76102145512899e-12,36,96743
13,-29.9539155867154,36,96743
14,-7.76102145512899e-12,36,96743
15,-7.76102145512899e-12,36,96743
16,-7.76102145512899e-12,36,96743
17,-7.76102145512899e-12,36,96743
18,-7.76102145512899e-12,36,96743
19,-7.76102145512899e-12,36,96743
20,-7.76102145512899e-12,36,96743
21,-7.76102145512899e-12,36,96743
22,-29.9539155867154,36,96743
1,-7.76102145512899e-12,37,96734
2,-7.76102145512899e-12,37,96734
3,-7.76102145512899e-12,37,96734
4,-7.76102145512899e-12,37,96734
5,-7.76102145512899e-12,37,96734
6,-7.76102145512899e-12,37,96734
7,-7.76102145512899e-12,37,96734
8,-7.76102145512899e-12,37,96734
9,-7.76102145512899e-12,37,96734
10,-7.76102145512899e-12,37,96734
11,-7.76102145512899e-12,37,96734
12,-7.76102145512899e-12,37,96734
13,-29.9539155867154,37,96734
14,-7.76102145512899e-12,37,96734
15,-7.76102145512899e-12,37,96734
16,-7.76102145512899e-12,37,96734
17,-7.76102145512899e-12,37,96734
18,-7.76102145512899e-12,37,96734
19,-7.76102145512899e-12,37,96734
20,-7.76102145512899e-12,37,96734
21,-7.76102145512899e-12,37,96734
22,-29.9539155867154,37,96734
1,-1.94025536378225e-12,38,96734
2,-1.94025536378225e-12,38,96734
3,-1.94025536378225e-12,38,96734
4,-1.94025536378225e-12,38,96734
5,-1.94025536378225e-12,38,96734
6,-1.94025536378225e-12,38,96734
7,-1.94025536378225e-12,38,96734
8,-1.94025536378225e-12,38,96734
9,-1.94025536378225e-12,38,96734
10,-1.94025536378225e-12,38,96734
11,-1.94025536378225e-12,38,96734
12,-1.94025536378225e-12,38,96734
13,-1.94025536378225e-12,38,96734
14,-1.94025536378225e-12,38,96734
15,-1.94025536378225e-12,38,96734
16,-1.94025536378225e-12,38,96734
17,-1.94025536378225e-12,38,96734
18,-1.94025536378225e-12,38,96734
19,-25.8773106996474,38,96734
20,-1.94025536378225e-12,38,96734
21,-1.94025536378225e-12,38,96734
22,-25.8773106996474,38,96734
1,-8.73114913702011e-12,41,96740
2,-8.73114913702011e-12,41,96740
3,-8.73114913702011e-12,41,96740
4,-8.73114913702011e-12,41,96740
5,-8.73114913702011e-12,41,96740
6,-8.73114913702011e-12,41,96740
7,-8.73114913702011e-12,41,96740
8,-8.73114913702011e-12,41,96740
9,-8.73114913702011e-12,41,96740
10,-8.73114913702011e-12,41,96740
11,-28.1338091576661,41,96740
12,-8.73114913702011e-12,41,96740
13,-8.73114913702011e-12,41,96740
14,-28.9922306265255,41,96740
15,-8.73114913702011e-12,41,96740
16,-8.73114913702011e-12,41,96740
17,-8.73114913702011e-12,41,96740
18,-8.73114913702011e-12,41,96740
19,-8.73114913702011e-12,41,96740
20,-8.73114913702011e-12,41,96740
21,-8.73114913702011e-12,41,96740
22,-57.2586332595344,41,96740
1,2.91038304567337e-12,49,96722
2,2.91038304567337e-12,49,96722
3,2.91038304567337e-12,49,96722
4,2.91038304567337e-12,49,96722
5,2.91038304567337e-12,49,96722
6,2.91038304567337e-12,49,96722
7,-29.1836217929696,49,96722
8,2.91038304567337e-12,49,96722
9,2.91038304567337e-12,49,96722
10,2.91038304567337e-12,49,96722
11,2.91038304567337e-12,49,96722
12,2.91038304567337e-12,49,96722
13,2.91038304567337e-12,49,96722
14,2.91038304567337e-12,49,96722
15,2.91038304567337e-12,49,96722
16,2.91038304567337e-12,49,96722
17,2.91038304567337e-12,49,96722
18,2.91038304567337e-12,49,96722
19,-19.9746633375864,49,96722
20,2.91038304567337e-12,49,96722
21,2.91038304567337e-12,49,96722
22,-49.2239009057807,49,96722
1,-3.88051072756449e-12,53,96743
2,-3.88051072756449e-12,53,96743
3,-3.88051072756449e-12,53,96743
4,-3.88051072756449e-12,53,96743
5,-3.88051072756449e-12,53,96743
6,-3.88051072756449e-12,53,96743
7,-3.88051072756449e-12,53,96743
8,-3.88051072756449e-12,53,96743
9,-3.88051072756449e-12,53,96743
10,-3.88051072756449e-12,53,96743
11,-3.88051072756449e-12,53,96743
12,-3.88051072756449e-12,53,96743
13,-8.28332575306219,53,96743
14,-3.88051072756449e-12,53,96743
15,-3.88051072756449e-12,53,96743
16,-3.88051072756449e-12,53,96743
17,-3.88051072756449e-12,53,96743
18,-3.88051072756449e-12,53,96743
19,-3.88051072756449e-12,53,96743
20,-3.88051072756449e-12,53,96743
21,-3.88051072756449e-12,53,96743
22,-8.28332575306219,53,96743
1,-6.79089377323786e-12,54,96792
2,-6.79089377323786e-12,54,96792
3,-6.79089377323786e-12,54,96792
4,-6.79089377323786e-12,54,96792
5,-6.79089377323786e-12,54,96792
6,-6.79089377323786e-12,54,96792
7,-6.79089377323786e-12,54,96792
8,-26.9742845375741,54,96792
9,-6.79089377323786e-12,54,96792
10,-6.79089377323786e-12,54,96792
11,-6.79089377323786e-12,54,96792
12,-6.79089377323786e-12,54,96792
13,-109.060010563853,54,96792
14,-6.79089377323786e-12,54,96792
15,-6.79089377323786e-12,54,96792
16,-6.79089377323786e-12,54,96792
17,-6.79089377323786e-12,54,96792
18,-6.79089377323786e-12,54,96792
19,-6.79089377323786e-12,54,96792
20,-6.79089377323786e-12,54,96792
21,-6.79089377323786e-12,54,96792
22,-136.24886022086,54,96792
1,2.42531920472781e-12,55,96734
2,2.42531920472781e-12,55,96734
3,2.42531920472781e-12,55,96734
4,2.42531920472781e-12,55,96734
5,2.42531920472781e-12,55,96734
6,2.42531920472781e-12,55,96734
7,2.42531920472781e-12,55,96734
8,2.42531920472781e-12,55,96734
9,2.42531920472781e-12,55,96734
10,2.42531920472781e-12,55,96734
11,2.42531920472781e-12,55,96734
12,2.42531920472781e-12,55,96734
13,2.42531920472781e-12,55,96734
14,-29.7193699158801,55,96734
15,2.42531920472781e-12,55,96734
16,2.42531920472781e-12,55,96734
17,2.42531920472781e-12,55,96734
18,2.42531920472781e-12,55,96734
19,2.42531920472781e-12,55,96734
20,2.42531920472781e-12,55,96734
21,2.42531920472781e-12,55,96734
22,-29.7193699158801,55,96734
1,-2.42531920472781e-12,56,96722
2,-2.42531920472781e-12,56,96722
3,-2.42531920472781e-12,56,96722
4,-2.42531920472781e-12,56,96722
5,-2.42531920472781e-12,56,96722
6,-2.42531920472781e-12,56,96722
7,-2.42531920472781e-12,56,96722
8,-2.42531920472781e-12,56,96722
9,-2.42531920472781e-12,56,96722
10,-2.42531920472781e-12,56,96722
11,-2.42531920472781e-12,56,96722
12,-2.42531920472781e-12,56,96722
13,-2.42531920472781e-12,56,96722
14,-2.42531920472781e-12,56,96722
15,-2.42531920472781e-12,56,96722
16,-2.42531920472781e-12,56,96722
17,-2.42531920472781e-12,56,96722
18,-2.42531920472781e-12,56,96722
19,-21.3494876965012,56,96722
20,-2.42531920472781e-12,56,96722
21,-2.42531920472781e-12,56,96722
22,-21.3494876965012,56,96722
1,-9.70127681891124e-12,59,96738
2,-9.70127681891124e-12,59,96738
3,-9.70127681891124e-12,59,96738
4,-9.70127681891124e-12,59,96738
5,-9.70127681891124e-12,59,96738
6,-9.70127681891124e-12,59,96738
7,-9.70127681891124e-12,59,96738
8,-9.70127681891124e-12,59,96738
9,-9.70127681891124e-12,59,96738
10,-9.70127681891124e-12,59,96738
11,-9.70127681891124e-12,59,96738
12,-9.70127681891124e-12,59,96738
13,-21.6900249313563,59,96738
14,-9.70127681891124e-12,59,96738
15,-9.70127681891124e-12,59,96738
16,-9.70127681891124e-12,59,96738
17,-9.70127681891124e-12,59,96738
18,-9.70127681891124e-12,59,96738
19,-9.70127681891124e-12,59,96738
20,-9.70127681891124e-12,59,96738
21,-9.70127681891124e-12,59,96738
22,-21.6900249313563,59,96738
1,-7.76102145512899e-12,60,96819
2,-7.76102145512899e-12,60,96819
3,-7.76102145512899e-12,60,96819
4,-7.76102145512899e-12,60,96819
5,-7.76102145512899e-12,60,96819
6,-7.76102145512899e-12,60,96819
7,-7.76102145512899e-12,60,96819
8,-7.76102145512899e-12,60,96819
9,-7.76102145512899e-12,60,96819
10,-7.76102145512899e-12,60,96819
11,-7.76102145512899e-12,60,96819
12,-7.76102145512899e-12,60,96819
13,-29.9539155867154,60,96819
14,-7.76102145512899e-12,60,96819
15,-7.76102145512899e-12,60,96819
16,-7.76102145512899e-12,60,96819
17,-7.76102145512899e-12,60,96819
18,-7.76102145512899e-12,60,96819
19,-7.76102145512899e-12,60,96819
20,-7.76102145512899e-12,60,96819
21,-7.76102145512899e-12,60,96819
22,-29.9539155867154,60,96819
1,1.69772344330946e-12,61,96734
2,1.69772344330946e-12,61,96734
3,1.69772344330946e-12,61,96734
4,1.69772344330946e-12,61,96734
