id,parkname,VisitCount,Permittee,zip,Zip,NoOfGuests,days_visited,year,island_park,parkname_numeric,income,residents_distance_meters,residents_duration,island_live,visited_another_island,travel_distance_km,avg_days_visited,price
19,Ainapo Cabin,0,13,96722,96722,5,2,2019,Hawaii,1,66912,151951,196.60001,Kauai,0,303.902,2,746.0193459369319
19,Hipalau,0,13,96722,96722,5,2,2019,Kauai,2,66912,103962,109.8,Kauai,0,207.924,2,146.08499538649926
19,Kaluahaulu,0,13,96722,96722,5,2,2019,Kauai,3,66912,103970,109.8,Kauai,0,207.94,2,146.09562119172705
19,Kamananui Trail,0,13,96722,96722,5,2,2019,Oahu,4,66912,65239,88.800003,Kauai,0,130.478,2,502.75087665609675
19,Kaunala Trail,0,13,96722,96722,5,2,2019,Oahu,5,66912,110872,137.8,Kauai,0,221.744,2,563.3617979010912
19,Kawaikoi,1,13,96722,96722,5,2,2019,Kauai,6,66912,120606,141.2,Kauai,0,241.212,2,173.52531649625948
19,Keanakolu Ranger & Bunkhouse Cabins,0,13,96722,96722,5,2,2019,Hawaii,7,66912,146272,204.39999,Kauai,0,292.544,2,758.4763524508512
19,Kuaokala Trail,0,13,96722,96722,5,2,2019,Oahu,8,66912,117111,146.39999,Kauai,0,234.222,2,571.6485977531177
19,Kulanaahane Trail,0,13,96722,96722,5,2,2019,Oahu,9,66912,65044,88.5,Kauai,0,130.088,2,502.4918726536692
19,Kuliouou Trail,0,13,96722,96722,5,2,2019,Oahu,10,66912,83572,108.8,Kauai,0,167.144,2,527.1012375612418
19,Lonomea,0,13,96722,96722,5,2,2019,Kauai,11,66912,103991,109.9,Kauai,0,207.982,2,146.12351393045003
19,Manana Trail,0,13,96722,96722,5,2,2019,Oahu,12,66912,69434,94,Kauai,0,138.868,2,508.3227832724216
19,Peacock Flats Campsite,0,13,96722,96722,5,2,2019,Oahu,13,66912,128522,192.3,Kauai,0,257.044,2,586.8049806849133
19,Sugi Grove,0,13,96722,96722,5,2,2019,Kauai,14,66912,114354,129.39999,Kauai,0,228.708,2,159.8879163774046
19,Waialae Cabin Campsite,0,13,96722,96722,5,2,2019,Kauai,15,66912,86838,92.199997,Kauai,0,173.676,2,123.34045929640467
19,Waikoali,0,13,96722,96722,5,2,2019,Kauai,16,66912,115856,132.7,Kauai,0,231.712,2,161.88291130892304
19,Waikolu,0,13,96722,96722,5,2,2019,Molokai,17,66912,59527,73.699997,Kauai,0,119.054,2,638.2009463249979
19,Waimano Trail,0,13,96722,96722,5,2,2019,Oahu,18,66912,82617,114.2,Kauai,0,165.234,2,525.8327820621737
19,Waimanu Campsite,0,13,96722,96722,5,2,2019,Hawaii,19,66912,142659,151.5,Kauai,0,285.318,2,721.6774731648484
19,Wiliwili,0,13,96722,96722,5,2,2019,Kauai,20,66912,103990,109.9,Kauai,0,207.98,2,146.12218570479655
19,Wiliwilinui Ridge Trail,0,13,96722,96722,5,2,2019,Oahu,21,66912,80186,103.6,Kauai,0,160.372,2,522.6038654985776
26,Ainapo Cabin,1,21,96740,96740,6,1,2019,Hawaii,1,79506,149497,139.3,Hawaii,0,298.994,1,235.72101808476103
26,Hipalau,0,21,96740,96740,6,1,2019,Kauai,2,79506,81990,95.800003,Hawaii,0,163.98,1,652.0096414403879
26,Kaluahaulu,0,21,96740,96740,6,1,2019,Kauai,3,79506,81981,95.800003,Hawaii,0,163.962,1,651.9960526114297
26,Kamananui Trail,0,21,96740,96740,6,1,2019,Oahu,4,79506,37021,57.700001,Hawaii,0,74.042,1,561.1677424552772
26,Kaunala Trail,0,21,96740,96740,6,1,2019,Oahu,5,79506,82654,106.7,Hawaii,0,165.308,1,630.0676348829641
26,Kawaikoi,0,21,96740,96740,6,1,2019,Kauai,6,79506,95339,125.6,Hawaii,0,190.678,1,674.831561191822
26,Keanakolu Ranger & Bunkhouse Cabins,0,21,96740,96740,6,1,2019,Hawaii,7,79506,84931,134.39999,Hawaii,0,169.862,1,148.23475913869066
26,Kuaokala Trail,0,21,96740,96740,6,1,2019,Oahu,8,79506,88893,115.3,Hawaii,0,177.786,1,639.4877130907596
26,Kulanaahane Trail,0,21,96740,96740,6,1,2019,Oahu,9,79506,36826,57.400002,Hawaii,0,73.652,1,560.8733178278496
26,Kuliouou Trail,0,21,96740,96740,6,1,2019,Oahu,10,79506,55354,77.699997,Hawaii,0,110.708,1,588.8481870431145
26,Lonomea,0,21,96740,96740,6,1,2019,Kauai,11,79506,77521,89.400002,Hawaii,0,155.042,1,645.2620329277033
26,Manana Trail,0,21,96740,96740,6,1,2019,Oahu,12,79506,41216,62.900002,Hawaii,0,82.432,1,567.5016466196789
26,Peacock Flats Campsite,0,21,96740,96740,6,1,2019,Oahu,13,79506,100304,161.2,Hawaii,0,200.608,1,656.716838339863
26,Sugi Grove,0,21,96740,96740,6,1,2019,Kauai,14,79506,89451,109.2,Hawaii,0,178.902,1,663.2747806467291
