"policy","mean","std.dev","ci_lo2.5%","ci_hi97.5%"
"policy1",-3.1089385228871,0.572476359944974,-4.3114236667987,-2.24908984842796
"policy10",-0.309514185771785,0.062599090200408,-0.421587741412431,-0.213577061965962
"policy11",-4.71420092728111,0.527432181057629,-5.67527807644586,-3.95134608598956
"policy12",-0.569151457680368,0.0928596877970757,-0.742523511786291,-0.420804321584263
"policy13",-21.0095042065382,0.942058340200258,-22.6463329002296,-19.3147608775274
"policy14",-3.38060853480376,0.405875463337624,-4.01142195045345,-2.73595678344546
"policy15",-0.762890923736557,0.211571219694837,-1.18836087220403,-0.416548715496999
"policy16",-2.92097793794595,0.42005381158293,-3.78413805408115,-2.20645851431681
"policy17",-1.26731874814079,0.370661685935036,-1.98731787294977,-0.726101503183679
"policy18",-0.419511572658424,0.139304743060034,-0.730079051745625,-0.230546353972351
"policy19",-4.23376780210464,0.532503730116485,-5.27738216759242,-3.46459922246715
"policy2",-1.23119898839772,0.237607658726381,-1.76041115829464,-0.81577116679591
"policy20",-1.09271988577249,0.233143941701058,-1.57270080366355,-0.77384282498096
"policy21",-0.0900197459114053,0.0294184886438509,-0.152164324812984,-0.0532218348013531
"policy22",-59.8425478950624,1.58983157988496,-62.596617507577,-57.3993951972105
"policy3",-1.07627082992741,0.297794676449312,-1.61311837097619,-0.573298764815714
"policy4",-0.0381551712387192,0.0135494664392437,-0.0657804595849757,-0.0197635144044274
"policy5",-0.514687233571529,0.118293726625625,-0.742324445683822,-0.34237663741193
"policy6",-5.45915075159687,0.491537130625277,-6.37061223695783,-4.62835212435499
"policy7",-1.35678964694677,0.276093038222113,-1.96299204764473,-0.993588445697547
"policy8",-6.15972516241072,0.438156132546686,-6.88181259557799,-5.42030851794394
"policy9",-0.0897205312786406,0.0318048483935138,-0.156440401085809,-0.0419401738482746
