"policy","mean","std.dev","ci_lo2.5%","ci_hi97.5%"
"policy1",-1.09393215921797,0.269902306656489,-1.7510929602443,-0.680522970486215
"policy10",-0.257519493928887,0.0581875408423863,-0.39738142103345,-0.160952761305455
"policy11",-2.82388585425914,0.518612586651411,-3.86941621682542,-2.01933863996448
"policy12",-0.154214119712971,0.0325104844794676,-0.206582335240994,-0.101367351170862
"policy13",-15.09919068122,0.80951104454099,-16.6684432971453,-13.6079394292555
"policy14",-2.1764268176963,0.301877867483462,-2.64792696047174,-1.60066475104705
"policy15",-0.550947723482254,0.247687183205635,-1.13672500512106,-0.296791452130152
"policy16",-1.22197070349944,0.211772815413374,-1.54317514010404,-0.876069827022688
"policy17",-0.490050583322326,0.229572976403053,-0.998662362445166,-0.213925656685408
"policy18",-0.26701823033273,0.079849514475206,-0.420878685736244,-0.123650095048202
"policy19",-31.7739648950936,1.78099990077966,-35.3748573321755,-28.9127939730683
"policy2",-1.83385752873629,0.421355749624077,-2.75752766256126,-1.37976922640749
"policy20",-1.89753829860077,0.389178777475865,-2.72244321079203,-1.27270170110925
"policy21",-0.0763225226783616,0.0230651369660593,-0.139204722695235,-0.0530904426572553
"policy22",-72.940180646891,2.77317269495021,-78.127557815,-68.9762298646246
"policy3",-1.40396647238656,0.464605275214179,-2.33804733459763,-0.864484555168921
"policy4",-0.0945437269532875,0.0318266581472926,-0.158930005667409,-0.0557805427627966
"policy5",-0.140939636792933,0.0482638606484708,-0.237598348552008,-0.0810428469333939
"policy6",-2.92778490775419,0.405737733089162,-3.75693084021387,-2.14187373589056
"policy7",-4.44815556446266,0.40874909287418,-5.13193196816365,-3.84686072439369
"policy8",-4.1081352660306,0.327655468631171,-4.63245813080002,-3.47581483750645
"policy9",-0.032739688552275,0.0158844220252161,-0.0607022813271266,-0.00788608331819901
