id,parkname,VisitCount,Permittee,zip,Zip,NoOfGuests,days_visited,year,island_park,parkname_numeric,income,residents_distance_meters,residents_duration,island_live,visited_another_island,travel_distance_km,avg_days_visited,price
1,Ainapo Cabin,0,1,96727,96727-0498,6,2,2018,Hawaii,1,59937,199672,212.89999,Hawaii,0,399.344,2,261.02095329521944
1,Hipalau,0,1,96727,96727-0498,6,2,2018,Kauai,2,59937,151256,166.7,Hawaii,0,302.512,2,709.2874884953851
1,Kaluahaulu,0,1,96727,96727-0498,6,2,2018,Kauai,3,59937,151247,166.7,Hawaii,0,302.494,2,709.2766247359214
1,Kamananui Trail,0,1,96727,96727-0498,6,2,2018,Oahu,4,59937,106287,128.60001,Hawaii,0,212.574,2,629.1488242288574
1,Kaunala Trail,0,1,96727,96727-0498,6,2,2018,Oahu,5,59937,151920,177.60001,Hawaii,0,303.84,2,684.231705963506
1,Kawaikoi,0,1,96727,96727-0498,6,2,2018,Kauai,6,59937,164605,196.5,Hawaii,0,329.21,2,730.7341912823117
1,Keanakolu Ranger & Bunkhouse Cabins,0,1,96727,96727-0498,6,2,2018,Hawaii,7,59937,86339,161.89999,Hawaii,0,172.678,2,144.21845870505604
1,Kuaokala Trail,0,1,96727,96727-0498,6,2,2018,Oahu,8,59937,158159,186.2,Hawaii,0,316.318,2,691.7627054406929
1,Kulanaahane Trail,0,1,96727,96727-0498,6,2,2018,Oahu,9,59937,106092,128.3,Hawaii,0,212.184,2,628.9134427738084
1,Kuliouou Trail,0,1,96727,96727-0498,6,2,2018,Oahu,10,59937,124620,148.60001,Hawaii,0,249.24,2,651.2783022566292
1,Lonomea,0,1,96727,96727-0498,6,2,2018,Kauai,11,59937,146787,160.3,Hawaii,0,293.574,2,703.8930283794132
1,Manana Trail,0,1,96727,96727-0498,6,2,2018,Oahu,12,59937,110482,133.8,Hawaii,0,220.964,2,634.2125432233756
1,Peacock Flats Campsite,0,1,96727,96727-0498,6,2,2018,Oahu,13,59937,169570,232.10001,Hawaii,0,339.14,2,705.5367453564135
1,Sugi Grove,0,1,96727,96727-0498,6,2,2018,Kauai,14,59937,158717,180.10001,Hawaii,0,317.434,2,718.2935450908799
1,Waialae Cabin Campsite,0,1,96727,96727-0498,6,2,2018,Kauai,15,59937,131238,142.8,Hawaii,0,262.476,2,685.1240732791118
1,Waikoali,0,1,96727,96727-0498,6,2,2018,Kauai,16,59937,160236,183.39999,Hawaii,0,320.472,2,720.1271062714932
1,Waikolu,0,1,96727,96727-0498,6,2,2018,Molokai,17,59937,100575,113.5,Hawaii,0,201.15,2,658.7642401894268
1,Waimano Trail,0,1,96727,96727-0498,6,2,2018,Oahu,18,59937,123665,154,Hawaii,0,247.33,2,650.1255366690809
1,Waimanu Campsite,1,1,96727,96727-0498,6,2,2018,Hawaii,19,59937,82587,108.7,Hawaii,0,165.174,2,107.68947809303401
1,Wiliwili,0,1,96727,96727-0498,6,2,2018,Kauai,20,59937,141636,150.7,Hawaii,0,283.272,2,697.6753367129618
1,Wiliwilinui Ridge Trail,0,1,96727,96727-0498,6,2,2018,Oahu,21,59937,121234,143.39999,Hawaii,0,242.468,2,647.1911145294687
3,Ainapo Cabin,0,3,96814,96814,2,1,2018,Hawaii,1,63283,129200,179.89999,Oahu,1,258.4,1,654.5265701017553
3,Hipalau,0,3,96814,96814,2,1,2018,Kauai,2,63283,87457,110.2,Oahu,1,174.914,1,504.72011661295636
3,Kaluahaulu,0,3,96814,96814,2,1,2018,Kauai,3,63283,87448,110.2,Oahu,1,174.896,1,504.70881851695407
3,Kamananui Trail,0,3,96814,96814,2,1,2018,Oahu,4,63283,13060,16.299999,Oahu,1,26.12,1,20.394792643289748
3,Kaunala Trail,0,3,96814,96814,2,1,2018,Oahu,5,63283,66958,74.400002,Oahu,1,133.916,1,88.05532356886638
