"policy","mean","std.dev","ci_lo2.5%","ci_hi97.5%"
"policy1",-0.71619584409671,0.167846183134324,-1.05057609380347,-0.48590283294343
"policy10",-0.196511716870803,0.0502911096710456,-0.2759683287928,-0.127513774949182
"policy11",-6.88267932791526,1.04398716214143,-8.69536272912852,-5.26024311008641
"policy12",-0.141799938381259,0.0626335235255981,-0.278052051066201,-0.0584508875859385
"policy13",-0.181708355153672,0.0509292489022437,-0.273696806635491,-0.122365761436803
"policy14",-13.7571504574874,1.06725498116097,-15.7253773182321,-11.6029470180236
"policy15",-6.48565077279054,0.643757739228638,-7.58705806508206,-5.30963287306409
"policy16",-0.783307961256033,0.232903787599044,-1.23465398120097,-0.448560988918689
"policy17",-3.37220678036113,0.335260809192181,-3.98864800931358,-2.84682657628406
"policy18",-1.61542318440747,0.371058206702325,-2.34451916552019,-0.916573394061489
"policy19",-0.0658260839581858,0.029597052045697,-0.122679092163561,-0.0218959499012217
"policy2",-1.6768588937086,0.390723513617835,-2.3857019689278,-1.02284334207866
"policy20",-6.22921272338191,0.495863312698249,-7.20425046857601,-5.57424568568072
"policy21",-2.40739770833567,0.520501192235752,-3.50084738524839,-1.73222944859801
"policy22",-0.0640551232787731,0.0292544595562632,-0.119162178132456,-0.0189111649980297
"policy23",-56.8659126623906,2.92905932993479,-62.0136445273989,-51.6434852425899
"policy3",-2.85371287493273,0.826403627748643,-5.33722599109598,-1.75642820600747
"policy4",-0.0303525097669349,0.016973657529334,-0.0606148883276743,-0.00933526469894727
"policy5",-0.212694406678487,0.0744844837616244,-0.354313035488867,-0.104797555075114
"policy6",-4.98656444951996,0.495993764250809,-5.93399413525198,-4.1643678263367
"policy7",-0.683154988027417,0.146715661483362,-0.940638292434505,-0.41354577581609
"policy8",-3.40334302688622,0.366296696359735,-3.99862505992938,-2.76050463478788
"policy9",-0.0800326599378349,0.0496343250667646,-0.224979677582508,-0.0217714282856338
