id,parkname,VisitCount,Permittee,zip,Zip,NoOfGuests,days_visited,year,island_park,parkname_numeric,income,residents_distance_meters,residents_duration,island_live,visited_another_island,travel_distance_km,avg_days_visited,price
5161,Ainapo Cabin,0,5,96714,96714,4,3,2020,Hawaii,1,38710,138377,316.5,Kauai,0,276.754,3,644.5925003510114
5161,Hipalau,0,5,96714,96714,4,3,2020,Kauai,2,38710,90388,229.8,Kauai,0,180.776,3,94.24965635122362
5161,Kaluahaulu,0,5,96714,96714,4,3,2020,Kauai,3,38710,90396,229.8,Kauai,0,180.792,3,94.25693604820562
5161,Kamananui Trail,0,5,96714,96714,4,3,2020,Oahu,4,38710,51665,208.7,Kauai,0,103.33,3,435.59354509940647
5161,Kaunala Trail,0,5,96714,96714,4,3,2020,Oahu,5,38710,97298,257.70001,Kauai,0,194.596,3,477.117846646906
5161,Kawaikoi,0,5,96714,96714,4,3,2020,Kauai,6,38710,107032,261.10001,Kauai,0,214.064,3,117.39506592229239
5161,Keanakolu Ranger & Bunkhouse Cabins,0,5,96714,96714,4,3,2020,Hawaii,7,38710,132698,324.29999,Kauai,0,265.396,3,669.424825455908
5161,Kuaokala Trail,0,5,96714,96714,4,3,2020,Oahu,8,38710,103537,266.29999,Kauai,0,207.074,3,482.79510033074996
5161,Kulanaahane Trail,0,5,96714,96714,4,3,2020,Oahu,9,38710,51470,208.39999,Kauai,0,102.94,3,435.41610248547
5161,Kuliouou Trail,0,5,96714,96714,4,3,2020,Oahu,10,38710,69998,228.7,Kauai,0,139.996,3,452.2758806958018
5161,Lonomea,0,5,96714,96714,4,3,2020,Kauai,11,38710,90417,229.8,Kauai,0,180.834,3,94.27604525278339
5161,Maakua Ridge Trail,0,5,96714,96714,4,3,2020,Oahu,12,38710,93786,262,Kauai,0,187.572,3,473.9220596718043
5161,Manana Trail,0,5,96714,96714,4,3,2020,Oahu,13,38710,55860,213.89999,Kauai,0,111.72,3,439.4108362043472
5161,Peacock Flats Campsite,0,5,96714,96714,4,3,2020,Oahu,14,38710,114948,312.20001,Kauai,0,229.896,3,493.17867811346235
5161,Sugi Grove,0,5,96714,96714,4,3,2020,Kauai,15,38710,100780,249.3,Kauai,0,201.56,3,103.70598273085272
5161,Waialae Cabin Campsite,0,5,96714,96714,4,3,2020,Kauai,16,38710,73264,212.10001,Kauai,0,146.528,3,78.6674649612343
5161,Waikoali,1,5,96714,96714,4,3,2020,Kauai,17,38710,102282,252.60001,Kauai,0,204.564,3,105.07274583922481
5161,Waikolu,0,5,96714,96714,4,3,2020,Molokai,18,38710,45953,193.60001,Kauai,0,91.906,3,560.8364922411877
5161,Waimano Trail,0,5,96714,96714,4,3,2020,Oahu,19,38710,69043,234.10001,Kauai,0,138.086,3,451.4068668685745
5161,Waimanu Campsite,0,5,96714,96714,4,3,2020,Hawaii,20,38710,129085,271.39999,Kauai,0,258.17,3,618.1371323064085
5161,Wiliwili,0,5,96714,96714,4,3,2020,Kauai,21,38710,90416,229.8,Kauai,0,180.832,3,94.27513529066064
5161,Wiliwilinui Ridge Trail,0,5,96714,96714,4,3,2020,Oahu,22,38710,66612,223.5,Kauai,0,133.224,3,449.1947489481667
5162,Ainapo Cabin,0,8,96766,96766,4,1,2020,Hawaii,1,84663,113432,156.89999,Kauai,0,226.864,1,712.2976477639025
5162,Hipalau,0,8,96766,96766,4,1,2020,Kauai,2,84663,55610,60.099998,Kauai,0,111.22,1,91.46039263657156
5162,Kaluahaulu,0,8,96766,96766,4,1,2020,Kauai,3,84663,55618,60.099998,Kauai,0,111.236,1,91.47297460278433
5162,Kamananui Trail,0,8,96766,96766,4,1,2020,Oahu,4,84663,26720,49.099998,Kauai,0,53.44,1,456.4209075252199
5162,Kaunala Trail,0,8,96766,96766,4,1,2020,Oahu,5,84663,72353,98.099998,Kauai,0,144.706,1,528.190015548681
5162,Kawaikoi,0,8,96766,96766,4,1,2020,Kauai,6,84663,72253,91.400002,Kauai,0,144.506,1,120.3022672631458
5162,Keanakolu Ranger & Bunkhouse Cabins,0,8,96766,96766,4,1,2020,Hawaii,7,84663,107753,164.7,Kauai,0,215.506,1,713.366024498607
5162,Kuaokala Trail,0,8,96766,96766,4,1,2020,Oahu,8,84663,78592,106.7,Kauai,0,157.184,1,538.002376448871
5162,Kulanaahane Trail,0,8,96766,96766,4,1,2020,Oahu,9,84663,26525,48.799999,Kauai,0,53.05,1,456.11422209878344
5162,Kuliouou Trail,0,8,96766,96766,4,1,2020,Oahu,10,84663,45053,69.099998,Kauai,0,90.106,1,485.2540558475768
5162,Lonomea,0,8,96766,96766,4,1,2020,Kauai,11,84663,55639,60.200001,Kauai,0,111.278,1,91.50600226409288
5162,Maakua Ridge Trail,0,8,96766,96766,4,1,2020,Oahu,12,84663,68841,102.4,Kauai,0,137.682,1,522.6665323812715
5162,Manana Trail,0,8,96766,96766,4,1,2020,Oahu,13,84663,30915,54.299999,Kauai,0,61.83,1,463.01857605804526
5162,Peacock Flats Campsite,0,8,96766,96766,4,1,2020,Oahu,14,84663,90003,152.60001,Kauai,0,180.006,1,555.9489785056219
5162,Sugi Grove,0,8,96766,96766,4,1,2020,Kauai,15,84663,66002,79.699997,Kauai,0,132.004,1,107.80436674696989
5162,Waialae Cabin Campsite,0,8,96766,96766,4,1,2020,Kauai,16,84663,38486,42.400002,Kauai,0,76.972,1,64.5286939581207
5162,Waikoali,1,8,96766,96766,4,1,2020,Kauai,17,84663,67504,82.900002,Kauai,0,135.008,1,110.16663090341895
5162,Waikolu,0,8,96766,96766,4,1,2020,Molokai,18,84663,21008,34,Kauai,0,42.016,1,590.7362162000699
5162,Waimano Trail,0,8,96766,96766,4,1,2020,Oahu,19,84663,44098,74.5,Kauai,0,88.196,1,483.75208363092645
5162,Waimanu Campsite,0,8,96766,96766,4,1,2020,Hawaii,20,84663,104140,111.8,Kauai,0,208.28,1,691.6836940077611
5162,Wiliwili,0,8,96766,96766,4,1,2020,Kauai,21,84663,55637,60.200001,Kauai,0,111.274,1,91.50285677253967
5162,Wiliwilinui Ridge Trail,0,8,96766,96766,4,1,2020,Oahu,22,84663,41667,63.900002,Kauai,0,83.334,1,479.9287386480186
16,Ainapo Cabin,0,10,96744,96744,4,1,2020,Hawaii,1,110939,142890,196.60001,Oahu,0,285.78,1,837.4263007256491
16,Hipalau,0,10,96744,96744,4,1,2020,Kauai,2,110939,101147,126.9,Oahu,0,202.294,1,656.3669922060978
16,Kaluahaulu,0,10,96744,96744,4,1,2020,Kauai,3,110939,101138,126.9,Oahu,0,202.276,1,656.3494266671855
16,Kamananui Trail,0,10,96744,96744,4,1,2020,Oahu,4,110939,25889,32.700001,Oahu,0,51.778,1,54.52824854494088
16,Kaunala Trail,0,10,96744,96744,4,1,2020,Oahu,5,110939,55692,76.599998,Oahu,0,111.384,1,112.69555479025252
16,Kawaikoi,0,10,96744,96744,4,1,2020,Kauai,6,110939,114496,156.7,Oahu,0,228.992,1,685.0872565330224
16,Keanakolu Ranger & Bunkhouse Cabins,0,10,96744,96744,4,1,2020,Hawaii,7,110939,137211,204.39999,Oahu,0,274.422,1,836.342445671892
16,Kuaokala Trail,0,10,96744,96744,4,1,2020,Oahu,8,110939,79676,92.900002,Oahu,0,159.352,1,159.5057642653911
16,Kulanaahane Trail,0,10,96744,96744,4,1,2020,Oahu,9,110939,25694,32.400002,Oahu,0,51.388,1,54.14766186850442
16,Kuliouou Trail,0,10,96744,96744,4,1,2020,Oahu,10,110939,39548,50.700001,Oahu,0,79.096,1,81.18688143440542
16,Lonomea,0,10,96744,96744,4,1,2020,Kauai,11,110939,96678,120.5,Oahu,0,193.356,1,647.6447262727927
16,Maakua Ridge Trail,0,10,96744,96744,4,1,2020,Oahu,12,110939,26972,39.099998,Oahu,0,53.944,1,56.64196839407259
16,Manana Trail,0,10,96744,96744,4,1,2020,Oahu,13,110939,33482,41.200001,Oahu,0,66.964,1,69.34770820741282
16,Peacock Flats Campsite,1,10,96744,96744,4,1,2020,Oahu,14,110939,91554,139.39999,Oahu,0,183.108,1,182.68837217673595
16,Sugi Grove,0,10,96744,96744,4,1,2020,Kauai,15,110939,108608,140.3,Oahu,0,217.216,1,670.9288239645205
16,Waialae Cabin Campsite,0,10,96744,96744,4,1,2020,Kauai,16,110939,81129,103,Oahu,0,162.258,1,617.2973302117132
16,Waikoali,0,10,96744,96744,4,1,2020,Kauai,17,110939,110127,143.60001,Oahu,0,220.254,1,673.8934965876333
16,Waikolu,0,10,96744,96744,4,1,2020,Molokai,18,110939,50466,73.699997,Oahu,0,100.932,1,418.3251607772011
16,Waimano Trail,0,10,96744,96744,4,1,2020,Oahu,19,110939,34962,43.400002,Oahu,0,69.924,1,72.23626349523825
16,Waimanu Campsite,0,10,96744,96744,4,1,2020,Hawaii,20,110939,133598,151.5,Oahu,0,267.196,1,813.2908576618155
16,Wiliwili,0,10,96744,96744,4,1,2020,Kauai,21,110939,91527,110.9,Oahu,0,183.054,1,637.5913828352327
16,Wiliwilinui Ridge Trail,0,10,96744,96744,4,1,2020,Oahu,22,110939,36346,46.200001,Oahu,0,72.692,1,74.93745303466419
5163,Ainapo Cabin,0,12,96792,96792,2,1,2020,Hawaii,1,66766,163126,215.5,Oahu,0,326.252,1,698.768756924332
5163,Hipalau,0,12,96792,96792,2,1,2020,Kauai,2,66766,121383,145.8,Oahu,0,242.766,1,549.4012398326654
5163,Kaluahaulu,0,12,96792,96792,2,1,2020,Kauai,3,66766,121374,145.8,Oahu,0,242.748,1,549.3894082889453
5163,Kamananui Trail,0,12,96792,96792,2,1,2020,Oahu,4,66766,49169,54.900002,Oahu,0,98.338,1,68.63835257508576
5163,Kaunala Trail,0,12,96792,96792,2,1,2020,Oahu,5,66766,78579,90.699997,Oahu,0,157.158,1,107.30120822057931
5163,Kawaikoi,0,12,96792,96792,2,1,2020,Kauai,6,66766,134732,175.60001,Oahu,0,269.464,1,569.6167150682438
5163,Keanakolu Ranger & Bunkhouse Cabins,0,12,96792,96792,2,1,2020,Hawaii,7,66766,157447,223.3,Oahu,0,314.894,1,701.303052836921
5163,Kuaokala Trail,0,12,96792,96792,2,1,2020,Oahu,8,66766,21290,31.6,Oahu,0,42.58,1,31.98817397798564
5163,Kulanaahane Trail,0,12,96792,96792,2,1,2020,Oahu,9,66766,48974,54.599998,Oahu,0,97.948,1,68.3820024611493
5163,Kuliouou Trail,0,12,96792,96792,2,1,2020,Oahu,10,66766,71116,79.800003,Oahu,0,142.232,1,97.49022924464194
5163,Lonomea,0,12,96792,96792,2,1,2020,Kauai,11,66766,116914,139.39999,Oahu,0,233.828,1,543.5262210676294
5163,Maakua Ridge Trail,0,12,96792,96792,2,1,2020,Oahu,12,66766,92645,110.3,Oahu,0,185.29,1,125.79259643919585
5163,Manana Trail,0,12,96792,96792,2,1,2020,Oahu,13,66766,43349,52.299999,Oahu,0,86.698,1,60.98728763605915
5163,Peacock Flats Campsite,1,12,96792,96792,2,1,2020,Oahu,14,66766,33168,78.199997,Oahu,0,66.336,1,47.60318245663822
5163,Sugi Grove,0,12,96792,96792,2,1,2020,Kauai,15,66766,128844,159.2,Oahu,0,257.688,1,559.2095895766649
5163,Waialae Cabin Campsite,0,12,96792,96792,2,1,2020,Kauai,16,66766,101365,121.9,Oahu,0,202.73,1,523.0852573671268
5163,Waikoali,0,12,96792,96792,2,1,2020,Kauai,17,66766,130363,162.5,Oahu,0,260.726,1,561.2064912334315
5163,Waikolu,0,12,96792,96792,2,1,2020,Molokai,18,66766,70702,92.599998,Oahu,0,141.404,1,343.6488095528071
5163,Waimano Trail,0,12,96792,96792,2,1,2020,Oahu,19,66766,44829,54.5,Oahu,0,89.658,1,62.93291927003843
5163,Waimanu Campsite,0,12,96792,96792,2,1,2020,Hawaii,20,66766,153834,170.39999,Oahu,0,307.668,1,680.5533453412676
