id,parkname,VisitCount,Permittee,zip,Zip,NoOfGuests,days_visited,year,island_park,parkname_numeric,income,residents_distance_meters,residents_duration,island_live,visited_another_island,travel_distance_km,avg_days_visited,price
15,Ainapo Cabin,0,9,96717,96717,5,1,2023,Hawaii,1,85365,162833,224.3,Oahu,0,325.666,1,726.7202382779493
15,Hipalau,0,9,96717,96717,5,1,2023,Kauai,2,85365,121090,154.60001,Oahu,0,242.18,1,575.1428594651679
15,Kaluahaulu,0,9,96717,96717,5,1,2023,Kauai,3,85365,121081,154.60001,Oahu,0,242.162,1,575.1285994450725
15,Kamananui Trail,0,9,96717,96717,5,1,2023,Oahu,4,85365,45832,60.400002,Oahu,0,91.664,1,76.61836011295966
15,Kaunala Trail,0,9,96717,96717,5,1,2023,Oahu,5,85365,35227,51.200001,Oahu,0,70.454,1,59.815303100437035
15,Kawaikoi,0,9,96717,96717,5,1,2023,Kauai,6,85365,134439,184.39999,Oahu,0,268.878,1,598.9603048268054
15,Keanakolu Ranger & Bunkhouse Cabins,0,9,96717,96717,5,1,2023,Hawaii,7,85365,157154,232.10001,Oahu,0,314.308,1,727.7221655976931
15,Kuaokala Trail,0,9,96717,96717,5,1,2023,Oahu,8,85365,99618,120.6,Oahu,0,199.236,1,161.83940909698063
15,Kulanaahane Trail,0,9,96717,96717,5,1,2023,Oahu,9,85365,45637,60.099998,Oahu,0,91.274,1,76.30939301089066
15,Kuliouou Trail,0,9,96717,96717,5,1,2023,Oahu,10,85365,59491,78.300003,Oahu,0,118.982,1,98.26031727788627
15,Lonomea,0,9,96717,96717,5,1,2023,Kauai,11,85365,116621,148.2,Oahu,0,233.242,1,568.061967264417
15,Manana Trail,0,9,96717,96717,5,1,2023,Oahu,12,85365,53425,68.900002,Oahu,0,106.85,1,88.64906373352397
15,Peacock Flats Campsite,2,9,96717,96717,5,1,2023,Oahu,13,85365,111497,167.10001,Oahu,0,222.994,1,180.66105117635416
15,Sugi Grove,0,9,96717,96717,5,1,2023,Kauai,14,85365,128551,168,Oahu,0,257.102,1,586.9644161243317
15,Waialae Cabin Campsite,0,9,96717,96717,5,1,2023,Kauai,15,85365,101072,130.7,Oahu,0,202.144,1,543.425405879437
15,Waikoali,0,9,96717,96717,5,1,2023,Kauai,16,85365,130070,171.3,Oahu,0,260.14,1,589.3711906271155
15,Waikolu,0,9,96717,96717,5,1,2023,Molokai,17,85365,70409,101.4,Oahu,0,140.818,1,452.73891405430385
15,Waimano Trail,0,9,96717,96717,5,1,2023,Oahu,18,85365,54905,71.099998,Oahu,0,109.81,1,90.99404481589393
15,Waimanu Campsite,0,9,96717,96717,5,1,2023,Hawaii,19,85365,153541,179.2,Oahu,0,307.082,1,705.9975597526914
15,Wiliwili,0,9,96717,96717,5,1,2023,Kauai,20,85365,111470,138.60001,Oahu,0,222.94,1,559.9004824297633
15,Wiliwilinui Ridge Trail,0,9,96717,96717,5,1,2023,Oahu,21,85365,56289,73.900002,Oahu,0,112.578,1,93.18691901724532
17,Ainapo Cabin,0,10,96795,96795,5,1.5,2023,Hawaii,1,92321,150430,203.39999,Oahu,0,300.86,1.5,749.8274476954415
17,Hipalau,0,10,96795,96795,5,1.5,2023,Kauai,2,92321,108687,133.7,Oahu,0,217.374,1.5,590.5240570125953
17,Kaluahaulu,0,10,96795,96795,5,1.5,2023,Kauai,3,92321,108678,133.7,Oahu,0,217.356,1.5,590.508894050192
17,Kamananui Trail,0,10,96795,96795,5,1.5,2023,Oahu,4,92321,32624,40.099998,Oahu,0,65.248,1.5,60.964053937946545
17,Kaunala Trail,0,10,96795,96795,5,1.5,2023,Oahu,5,92321,81433,91.699997,Oahu,0,162.866,1.5,143.1961685976214
17,Kawaikoi,0,10,96795,96795,5,1.5,2023,Kauai,6,92321,122036,163.5,Oahu,0,244.072,1.5,617.0140998037199
17,Keanakolu Ranger & Bunkhouse Cabins,0,10,96795,96795,5,1.5,2023,Hawaii,7,92321,144751,211.2,Oahu,0,289.502,1.5,755.2596184190317
17,Kuaokala Trail,0,10,96795,96795,5,1.5,2023,Oahu,8,92321,87215,99.699997,Oahu,0,174.43,1.5,152.9375295548678
17,Kulanaahane Trail,0,10,96795,96795,5,1.5,2023,Oahu,9,92321,32430,39.799999,Oahu,0,64.86,1.5,60.637207859477876
17,Kuliouou Trail,0,10,96795,96795,5,1.5,2023,Oahu,10,92321,18746,26.799999,Oahu,0,37.492,1.5,37.58276591223472
