"site","mean_value","id","zip"
1,-1.94025536378225e-12,15,96717
2,-1.94025536378225e-12,15,96717
3,-1.94025536378225e-12,15,96717
4,-1.94025536378225e-12,15,96717
5,-1.94025536378225e-12,15,96717
6,-1.94025536378225e-12,15,96717
7,-33.1846842256559,15,96717
8,-1.94025536378225e-12,15,96717
9,-1.94025536378225e-12,15,96717
10,-1.94025536378225e-12,15,96717
11,-1.94025536378225e-12,15,96717
12,-1.94025536378225e-12,15,96717
13,-1.94025536378225e-12,15,96717
14,-1.94025536378225e-12,15,96717
15,-1.94025536378225e-12,15,96717
16,-1.94025536378225e-12,15,96717
17,-1.94025536378225e-12,15,96717
18,-1.94025536378225e-12,15,96717
19,-1.94025536378225e-12,15,96717
20,-1.94025536378225e-12,15,96717
21,-1.94025536378225e-12,15,96717
22,-33.1846842256559,15,96717
1,1.45519152283669e-12,17,96795
2,1.45519152283669e-12,17,96795
3,1.45519152283669e-12,17,96795
4,1.45519152283669e-12,17,96795
5,1.45519152283669e-12,17,96795
6,1.45519152283669e-12,17,96795
7,1.45519152283669e-12,17,96795
8,1.45519152283669e-12,17,96795
9,1.45519152283669e-12,17,96795
10,1.45519152283669e-12,17,96795
11,1.45519152283669e-12,17,96795
12,1.45519152283669e-12,17,96795
13,1.45519152283669e-12,17,96795
14,1.45519152283669e-12,17,96795
15,1.45519152283669e-12,17,96795
16,1.45519152283669e-12,17,96795
17,1.45519152283669e-12,17,96795
18,1.45519152283669e-12,17,96795
19,-43.4261304798835,17,96795
20,1.45519152283669e-12,17,96795
21,1.45519152283669e-12,17,96795
22,-43.4261304847857,17,96795
1,9.21621297796568e-12,18,96785
2,9.21621297796568e-12,18,96785
3,9.21621297796568e-12,18,96785
4,9.21621297796568e-12,18,96785
5,9.21621297796568e-12,18,96785
6,9.21621297796568e-12,18,96785
7,9.21621297796568e-12,18,96785
8,9.21621297796568e-12,18,96785
9,9.21621297796568e-12,18,96785
10,9.21621297796568e-12,18,96785
11,9.21621297796568e-12,18,96785
12,9.21621297796568e-12,18,96785
13,-30.737769649251,18,96785
14,9.21621297796568e-12,18,96785
15,9.21621297796568e-12,18,96785
16,9.21621297796568e-12,18,96785
17,9.21621297796568e-12,18,96785
18,9.21621297796568e-12,18,96785
19,9.21621297796568e-12,18,96785
20,9.21621297796568e-12,18,96785
21,9.21621297796568e-12,18,96785
22,-30.737769649251,18,96785
1,4.36557456851005e-12,21,96826
2,4.36557456851005e-12,21,96826
3,4.36557456851005e-12,21,96826
4,4.36557456851005e-12,21,96826
5,4.36557456851005e-12,21,96826
6,4.36557456851005e-12,21,96826
7,4.36557456851005e-12,21,96826
8,4.36557456851005e-12,21,96826
9,4.36557456851005e-12,21,96826
10,4.36557456851005e-12,21,96826
11,4.36557456851005e-12,21,96826
12,4.36557456851005e-12,21,96826
13,-127.843881115461,21,96826
14,4.36557456851005e-12,21,96826
15,4.36557456851005e-12,21,96826
16,4.36557456851005e-12,21,96826
17,4.36557456851005e-12,21,96826
18,4.36557456851005e-12,21,96826
19,4.36557456851005e-12,21,96826
20,4.36557456851005e-12,21,96826
21,4.36557456851005e-12,21,96826
22,-127.843881115461,21,96826
1,2.42531920472781e-12,23,96786
2,2.42531920472781e-12,23,96786
3,2.42531920472781e-12,23,96786
4,2.42531920472781e-12,23,96786
5,2.42531920472781e-12,23,96786
6,2.42531920472781e-12,23,96786
7,2.42531920472781e-12,23,96786
8,2.42531920472781e-12,23,96786
9,2.42531920472781e-12,23,96786
10,2.42531920472781e-12,23,96786
11,2.42531920472781e-12,23,96786
12,2.42531920472781e-12,23,96786
13,-122.348290146805,23,96786
14,2.42531920472781e-12,23,96786
15,2.42531920472781e-12,23,96786
16,2.42531920472781e-12,23,96786
17,2.42531920472781e-12,23,96786
18,2.42531920472781e-12,23,96786
19,2.42531920472781e-12,23,96786
20,2.42531920472781e-12,23,96786
21,2.42531920472781e-12,23,96786
22,-122.348290168296,23,96786
1,-9.01483918291487,30,96817
2,2.18278728425503e-12,30,96817
3,2.18278728425503e-12,30,96817
