id,parkname,year,zip,income,loss_rum_observed,loss_mdcev,loss_rum_52wk
1,Ainapo Cabin,2018,96727,59937,-4.209646734350382,1.2126596023638998e-12,-11.12130419491196
1001,Ainapo Cabin,2018,96826,51649,-1.9567289870012985,-5.5782341708739594e-12,-2.5378567310414244
1002,Ainapo Cabin,2018,96782,93832,-1.119692741578819,-9.216212977965669e-12,-1.406854651065252
1006,Ainapo Cabin,2018,96814,63283,-1.7310322288256015,-2.4253192047278097e-12,-2.1563220689488642
1008,Ainapo Cabin,2018,96703,69615,-0.8461535176762917,-1.9402553637822497e-12,-1.8296840724279952
1009,Ainapo Cabin,2018,96716,75417,-0.2589038733935363,-8.731149137020109e-12,-1.1504829325724049
101,Ainapo Cabin,2018,96789,102228,-0.9284009755277783,-6.7908937732378594e-12,-1.1018103790966298
1011,Ainapo Cabin,2018,96749,54094,-12.836922297522444,-5.3357022504011794e-12,-23.365360545311486
102,Ainapo Cabin,2018,96782,93832,-0.8467876903808834,-4.8506384094556194e-12,-1.0790198985999906
1025,Ainapo Cabin,2018,96740,79506,-5.323250268475269,9.70127681891123e-13,-12.030773195642123
1037,Ainapo Cabin,2018,96818,79653,-1.447649190185754,9.70127681891123e-13,-1.8122786713012708
1044,Ainapo Cabin,2018,96707,105278,-3.4191293611645417,-8.246085296074549e-12,-0.9874074949402877
105,Ainapo Cabin,2018,96815,63773,-1.7193234160813466,1.0913936421275098e-11,-2.0973837386157252
1052,Ainapo Cabin,2018,96740,79506,-5.103808295260827,-1.9402553637822497e-12,-10.64848327572769
1064,Ainapo Cabin,2018,96740,79506,-5.323250268475269,9.70127681891123e-13,-12.030773195642123
1070,Ainapo Cabin,2018,96734,102242,-2.6053684902255028,-2.1827872842550297e-11,-0.9173353902399738
1071,Ainapo Cabin,2018,96813,74170,-1.5369774436861046,-1.2126596023639e-11,-1.8592776719131032
1072,Ainapo Cabin,2018,96720,63335,-10.444624021581047,-1.2126596023638998e-12,-20.649348825148767
1078,Ainapo Cabin,2018,96826,51649,-1.9567289870012985,-9.70127681891123e-13,-2.5378567310414244
1079,Ainapo Cabin,2018,96743,90441,-4.5407098324966695,-7.761021455128989e-12,-12.095636450657915
1081,Ainapo Cabin,2018,96817,65231,-1.696632050432396,-1.69772344330947e-12,-2.068668723202408
